Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
100 Thieves	S8	NA	69	53.6%	1.04	1761	-12	36:48	11.0	10.6	6.5	6.1	62.3	55.1	1.80	47.2	-	0.36	38.5	0.57	-0.1	-280	-	0.88	52.8	33.6	1800	3.4	1.22	1.58
100 Thieves Academy	S8	NA	41	46.3%	0.91	1752	-35	33:13	10.2	11.2	5.8	6.3	51.2	41.5	1.61	46.1	-	0.32	34.2	0.46	0.1	-553	-	0.59	43.1	34.1	1761	3.6	1.15	1.33
1907 Fenerbahce	S8	TR	68	51.5%	1.07	1795	34	35:07	13.7	12.7	6.1	5.8	41.2	50.0	1.84	51.9	-	0.50	53.1	0.48	0.1	272	-	0.78	54.0	33.5	1932	3.6	1.24	1.61
6Sense	S8	LAN	39	38.5%	0.71	1725	-130	35:47	11.7	16.4	5.9	7.5	46.2	41.0	1.67	43.2	-	0.41	42.1	0.54	-0.6	-935	-	0.77	42.5	32.3	1798	3.5	1.27	1.22
7th Heaven	S8	JP	24	29.2%	0.85	1697	-172	35:42	9.0	10.6	4.0	7.7	50.0	37.5	1.33	37.1	-	0.25	31.6	0.38	-0.2	-404	-	0.54	30.2	34.8	1589	4.4	1.08	1.76
Ad Hoc Gaming	S8	EUW	3	0.0%	0.50	1582	-415	38:26	8.0	16.0	1.7	10.3	-	33.3	1.33	35.6	-	0.67	66.7	1.33	-0.3	-1729	-	0.00	0.0	33.3	1901	3.3	1.07	1.52
Afreeca Freecs	S8	KR	121	58.7%	1.20	1842	86	36:41	9.5	7.9	6.6	5.1	53.7	51.2	1.99	52.7	-	0.41	54.3	0.50	0.1	291	-	0.94	56.3	36.8	1669	4.7	1.55	2.02
ahq e-Sports Club	S8	TW	65	36.9%	0.80	1742	-94	37:50	9.1	11.4	5.4	7.2	40.0	47.7	1.65	43.4	-	0.49	61.5	0.38	-0.3	-613	-	0.71	38.6	34.9	1751	4.1	1.37	1.90
APK Prince	S8	KR	2	0.0%	0.31	1550	-401	32:49	6.0	19.5	1.0	8.5	100.0	-	0.00	0.0	-	0.00	-	0.00	-1.0	-3012	-	0.50	50.0	30.8	1814	4.5	1.09	2.41
ArkAngel	S8	SEA	6	50.0%	0.93	1781	-63	30:24	15.7	16.8	5.5	7.5	83.3	33.3	2.00	58.3	-	0.33	33.3	0.83	-0.7	85	-	0.50	41.7	30.9	2127	3.0	1.08	1.24
Ascension Gaming	S8	SEA	28	53.6%	1.05	1836	35	33:19	15.9	15.1	6.5	5.8	39.3	46.4	1.57	45.8	-	0.50	53.8	0.46	-0.5	-317	-	0.64	51.2	33.4	2051	3.2	1.10	1.22
Asus ROG	S8	EUW	16	31.3%	0.70	1728	-206	31:54	10.4	14.8	4.6	7.8	37.5	31.3	1.19	39.1	-	0.44	50.0	0.25	-1.3	-1928	-	0.38	25.0	32.7	1741	4.4	1.27	1.55
