Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
Dignitas	S13	NA	45	31.1%	0.69	1720	-182	32:50	10.6	15.3	4.9	8.1	44.4	37.8	1.62	33.6	-	0.84	42.2	0.47	0.0	-1013	3.89	0.44	24.4	31.8	2149	2.7	1.14	1.58
Dignitas Challengers	S13	NA	45	71.1%	1.22	1862	172	30:58	13.8	11.2	7.6	4.2	60.0	77.8	2.24	55.5	-	0.93	48.9	0.93	0.6	1476	6.22	0.78	61.9	32.4	2579	2.5	1.01	1.32
Dire Wolves	S13	OCE	40	52.5%	1.00	1829	15	31:27	15.3	15.3	6.7	5.7	60.0	52.5	2.13	45.9	-	0.80	40.0	0.73	0.1	2	4.43	0.70	47.5	31.2	2312	2.9	1.10	1.32
Direct Rising eSports	S13	DE	18	16.7%	0.57	1715	-308	28:57	12.8	22.6	3.7	8.4	44.4	27.8	1.72	42.5	-	0.94	47.2	0.67	-0.3	-1830	3.89	0.22	16.7	29.4	2287	2.6	0.83	0.96
Disguised	S13	NA	50	66.0%	1.33	1848	115	32:50	14.7	11.0	7.5	4.9	62.0	54.0	2.72	59.4	-	0.96	48.0	1.20	0.1	490	4.24	1.02	62.4	32.5	2399	2.9	0.89	1.21
DK Challengers	S13	KR	127	66.1%	1.28	1889	141	31:13	13.5	10.5	6.7	4.5	37.0	66.9	2.51	57.9	-	0.94	47.2	1.05	0.2	887	4.57	0.83	62.5	34.9	2116	3.1	1.39	1.66
DKB Diamonds	S13	DE	61	59.0%	1.07	1863	60	29:54	16.4	15.2	6.7	5.3	52.5	52.5	2.11	50.5	-	1.21	60.7	1.07	0.0	255	4.51	0.77	58.7	31.0	2448	2.9	0.95	1.24
Domino Esport	S13	EUW	29	31.0%	0.72	1744	-170	30:16	13.6	19.0	5.0	7.8	58.6	48.3	2.03	47.8	-	0.72	36.2	0.93	-0.1	-1031	4.52	0.41	31.0	30.1	2196	2.3	0.90	0.91
Dplus KIA	S13	KR	103	60.2%	1.35	1839	93	31:49	12.3	9.1	6.4	4.9	58.3	51.5	2.77	62.9	-	1.08	54.4	1.19	0.1	900	4.61	0.83	60.2	33.8	2237	3.4	1.52	1.67
DREN Esports	S13	IT	28	28.6%	0.61	1726	-202	32:23	11.3	18.4	4.8	7.9	39.3	28.6	1.43	32.1	-	0.46	23.2	0.54	-0.6	-2058	3.50	0.54	31.8	31.3	2060	2.2	0.80	1.19
DRX	S13	KR	93	30.1%	0.62	1697	-196	31:02	8.8	14.1	4.1	7.3	33.3	35.5	1.71	37.9	-	0.86	44.1	0.67	-0.1	-1321	3.74	0.52	32.0	32.2	1989	3.0	1.43	1.73
DRX Challengers	S13	KR	117	61.5%	1.15	1852	83	31:58	13.1	11.4	7.0	4.8	51.3	64.1	2.46	55.3	-	1.02	51.3	0.94	0.2	361	3.90	0.80	55.9	33.7	2177	3.1	1.30	1.68
Dsyre Esports	S13	IT	63	60.3%	1.13	1899	98	31:13	16.4	14.5	7.3	5.5	61.9	58.7	2.08	51.6	-	1.17	58.7	0.95	0.4	1533	5.86	0.90	58.6	32.0	2421	2.9	1.06	1.33
Dynamo Eclot	S13	CZ	41	56.1%	1.06	1859	46	30:49	17.7	16.7	6.9	5.7	48.8	58.5	2.49	57.2	-	1.22	61.0	1.12	0.3	1168	4.76	0.71	55.6	30.8	2522	2.8	1.11	1.16
E WIE EINFACH E-SPORTS	S13	DE	36	33.3%	0.65	1742	-197	29:46	10.7	16.5	4.9	7.9	47.2	36.1	2.03	44.1	-	0.83	41.7	0.83	-0.2	-1038	4.14	0.44	31.9	32.2	2059	2.4	1.00	1.19
Edward Gaming	S13	CN	114	55.3%	1.00	1827	26	31:07	12.8	12.7	6.4	5.6	46.5	51.8	2.41	56.8	-	-	-	-	-	-	-	0.75	54.2	32.8	2280	-	-	-
EGN Esports	S13	PT	28	42.9%	0.90	1736	-13	34:00	12.4	13.8	5.9	6.5	53.6	39.3	1.86	40.2	-	1.04	51.8	0.50	0.1	162	4.18	0.68	47.2	30.5	2223	2.4	0.84	1.20
Eintracht Frankfurt	S13	DE	36	27.8%	0.78	1769	-133	35:43	14.1	18.0	5.5	8.2	50.0	38.9	2.58	47.4	-	0.64	31.9	0.97	-0.5	-1348	3.03	0.69	31.0	32.0	2328	2.6	0.80	1.39
Eintracht Spandau	S13	DE	46	58.7%	1.00	1869	81	31:39	13.2	13.2	7.3	5.5	58.7	76.1	2.35	55.8	-	1.26	63.0	1.04	0.5	1272	5.89	0.93	60.1	33.5	2358	3.0	1.28	1.43
ENEMI3S	S13	IT	14	14.3%	0.62	1708	-277	28:35	12.4	19.9	3.4	9.0	42.9	21.4	1.50	37.1	-	0.50	25.0	0.71	-0.7	-2252	3.93	0.36	25.0	29.0	2282	2.4	0.74	0.87
Entropiq	S13	CZ	57	73.7%	1.42	1926	218	30:01	16.4	11.6	7.9	4.2	57.9	59.6	2.28	58.8	-	1.12	56.1	0.82	0.2	1386	4.88	0.91	65.5	32.9	2514	3.2	1.17	1.25
EPIC-DUDES	S13	DE	36	30.6%	0.76	1740	-161	30:13	12.4	16.3	4.5	7.6	38.9	47.2	1.89	43.6	-	0.94	47.2	0.83	-0.2	-734	3.42	0.53	36.2	31.0	2220	2.4	0.80	1.11
Estral Esports	S13	LAT	58	62.1%	1.13	1865	130	32:21	14.1	12.4	7.1	5.1	39.7	65.5	2.41	58.0	-	1.12	56.0	1.10	0.2	860	5.40	0.93	63.0	32.9	2236	3.0	1.24	1.54
eSuba	S13	CZ	63	52.4%	1.16	1852	80	30:38	15.7	13.5	6.6	5.4	58.7	44.4	2.17	53.3	-	1.27	63.5	0.90	0.1	487	4.08	0.76	54.8	31.9	2285	2.7	0.96	1.25
Eternal Fire	S13	TR	22	45.5%	0.98	1814	-33	31:01	13.7	14.0	6.0	5.9	36.4	54.5	2.09	51.0	-	1.27	63.6	0.82	-0.1	-382	3.45	0.59	42.0	32.7	2196	3.0	1.23	1.36
Evil Geniuses	S13	NA	55	52.7%	1.08	1826	34	32:11	13.0	12.1	6.5	5.9	49.1	50.9	2.18	50.3	-	1.00	50.0	0.87	0.0	318	4.75	1.00	59.4	32.7	2264	3.0	1.26	1.43
Evil Geniuses Challengers	S13	NA	89	42.7%	0.96	1766	-66	31:23	12.7	13.2	5.6	6.7	48.3	38.2	1.89	41.8	-	0.87	43.3	0.69	-0.1	-717	3.81	0.69	47.6	32.2	2074	2.8	0.98	1.14
Excel Esports	S13	EUW	52	36.5%	0.84	1789	-85	32:40	12.9	15.4	5.4	7.3	32.7	40.4	2.27	47.8	-	1.04	51.9	1.00	-0.3	-856	4.54	0.73	42.2	32.0	2324	3.3	1.09	1.38
Exeed Poland	S13	PL	36	36.1%	0.83	1742	-129	31:18	13.0	15.7	5.1	7.2	41.7	38.9	2.08	46.8	-	1.03	51.4	0.81	-0.3	-759	4.11	0.69	44.4	31.2	2102	2.3	0.84	1.17
Falcons	S13	ES	41	41.5%	0.88	1747	-95	32:46	13.3	15.0	5.2	7.2	43.9	41.5	2.07	43.6	-	0.85	42.7	0.63	-0.1	-1013	3.27	0.85	41.0	30.4	2284	2.2	0.64	1.24
FC Schalke 04 Evolution	S13	DE	44	52.3%	1.05	1762	-30	33:36	13.2	12.6	6.0	6.7	56.8	40.9	2.36	49.6	-	0.75	37.5	0.73	0.0	-316	3.91	0.86	53.0	31.4	2147	2.8	1.13	1.49
FENNEL	S13	JP	74	51.4%	1.01	1804	20	30:47	13.4	13.2	5.9	5.8	54.1	41.9	1.76	43.0	-	0.88	45.3	0.59	0.0	9	3.99	0.74	55.9	31.7	2199	2.9	1.22	1.65
Fluxo	S13	BR	44	52.3%	1.11	1780	18	34:11	13.8	12.4	6.9	6.2	63.6	45.5	2.41	50.0	-	0.77	38.6	0.93	0.0	-58	4.23	0.84	48.9	31.1	2448	3.0	1.28	1.63
Fluxo Academy	S13	BR	41	46.3%	0.99	1794	-8	31:50	14.0	14.1	5.6	6.5	41.5	31.7	2.22	51.7	-	1.20	59.8	0.88	-0.4	-670	3.73	0.78	52.1	31.6	2120	2.6	1.16	1.60
FLY FAM	S13	NA	34	14.7%	0.63	1642	-278	30:04	9.9	15.8	3.1	8.6	52.9	23.5	1.24	30.5	-	0.76	41.2	0.62	-0.6	-1600	3.09	0.32	21.6	30.1	1965	2.1	0.75	1.03
FlyQuest	S13	NA	48	52.1%	0.99	1806	14	32:01	12.8	12.9	6.1	5.6	50.0	50.0	2.19	50.6	-	1.23	61.5	0.83	0.0	30	4.40	0.85	53.1	32.1	2162	3.0	1.30	1.56
FlyQuest Challengers	S13	NA	92	62.0%	1.10	1883	93	31:10	15.9	14.5	7.4	5.0	53.3	65.2	2.14	51.2	-	1.03	51.6	0.92	0.3	501	4.75	0.86	58.7	32.1	2397	2.8	1.05	1.27
Fnatic	S13	EUW	75	49.3%	0.96	1840	-15	30:53	13.9	14.5	6.0	6.4	48.0	40.0	2.17	50.7	-	0.69	35.8	0.81	-0.3	-567	4.11	0.77	48.2	32.5	2349	3.0	0.92	1.42
Fnatic TQ	S13	ES	42	47.6%	0.89	1802	-37	32:59	14.5	16.2	5.9	6.4	38.1	50.0	2.29	50.8	-	1.02	51.2	0.71	0.0	241	4.93	0.76	40.7	32.0	2345	2.5	0.98	1.24
For The Win Esports	S13	PT	41	53.7%	1.13	1833	90	31:56	13.9	12.2	6.6	5.2	41.5	63.4	1.90	42.4	-	1.15	59.8	0.51	0.3	1316	5.00	0.78	52.8	32.6	2183	2.7	1.09	1.30
Fourth Wall	S13	EUW	14	35.7%	0.76	1781	-126	29:46	14.6	19.1	5.1	7.6	35.7	57.1	1.64	40.0	-	0.79	39.3	1.00	0.1	-1167	5.21	0.50	46.4	30.1	2133	2.9	1.05	1.01
Fox Gaming	S13	AL	28	46.4%	0.94	1787	-45	32:05	14.6	15.5	6.0	6.5	57.1	50.0	2.25	49.7	-	1.11	55.4	0.86	-0.1	-327	4.43	0.82	45.8	30.5	2319	2.3	0.88	1.21
Frank Esports	S13	PCS	67	56.7%	1.27	1840	110	32:24	13.2	10.3	6.4	5.1	58.2	55.2	2.33	54.1	-	1.18	59.0	0.82	0.2	820	4.33	0.90	64.2	33.0	2235	3.0	1.19	1.69
Funplus Phoenix	S13	CN	76	38.2%	0.82	1763	-110	30:59	11.1	13.5	5.0	6.9	46.1	39.5	1.67	38.0	-	-	-	-	-	-	-	0.50	38.4	32.4	1966	-	-	-
FURIA Academy	S13	BR	45	42.2%	0.90	1755	-70	33:00	13.3	14.8	5.8	7.0	64.4	51.1	2.13	46.7	-	0.93	46.7	0.91	-0.1	-119	3.64	0.78	46.3	30.7	2082	3.0	1.45	1.51
FURIA Esports	S13	BR	47	48.9%	1.05	1778	7	35:16	12.5	11.9	6.5	6.8	46.8	57.4	2.47	48.5	-	1.15	57.4	0.96	0.2	348	4.32	0.89	48.7	31.7	2044	3.2	1.50	1.65
FUT Esports	S13	TR	63	58.7%	1.09	1860	58	31:04	15.8	14.4	6.5	5.4	52.4	60.3	2.37	56.4	-	1.03	52.4	0.79	0.2	946	5.05	0.75	49.5	32.3	2348	2.9	1.24	1.47
G2 Esports	S13	EUW	100	68.0%	1.29	1935	171	29:56	17.1	13.2	7.3	4.7	48.0	59.0	2.36	59.0	-	1.25	62.5	0.91	0.3	1154	6.45	0.83	61.9	32.0	2416	3.2	0.96	1.40
Galakticos	S13	TR	28	28.6%	0.64	1702	-143	32:17	9.5	15.0	4.7	7.5	42.9	32.1	1.68	36.8	-	0.82	42.9	0.68	-0.1	-440	3.96	0.61	35.2	31.5	2058	2.3	1.00	1.32
GAM Esports	S13	VN	114	68.4%	1.26	1931	149	29:56	16.3	12.9	7.3	4.7	45.6	54.4	2.46	58.6	-	1.16	58.3	0.90	0.2	436	5.27	0.81	63.6	33.6	2352	3.2	1.38	1.55
GamerLegion	S13	DE	47	36.2%	0.90	1748	-91	32:23	12.6	14.0	5.0	7.0	31.9	38.3	1.87	41.5	-	0.87	45.7	0.66	-0.2	-588	3.79	0.64	38.3	32.1	2219	2.7	1.02	1.35
Gamespace Mediterranean College Esports	S13	GR	35	40.0%	0.84	1801	-53	31:29	14.1	16.8	6.1	6.5	42.9	54.3	1.80	41.9	-	1.29	64.3	0.69	0.2	-22	4.71	0.66	46.7	30.8	2317	2.5	0.90	1.22
GameWard	S13	FR	47	48.9%	0.91	1791	-4	32:43	12.6	13.8	6.1	6.1	59.6	44.7	2.32	49.8	-	1.34	67.0	0.72	-0.1	-6	4.45	0.77	48.9	32.3	2095	2.9	1.14	1.31
Geekay Esports	S13	AL	54	70.4%	1.38	1895	143	32:35	19.9	14.3	7.7	5.1	53.7	51.9	2.74	63.1	-	1.13	56.5	1.37	0.2	524	5.06	0.94	67.0	30.5	2639	2.9	1.03	1.34
Gen.G Challengers	S13	KR	94	38.3%	0.91	1789	-61	31:23	12.0	13.1	5.1	6.8	48.9	35.1	1.97	41.9	-	1.01	50.5	0.55	-0.1	-345	3.45	0.68	44.3	33.3	2036	3.2	1.35	1.60
Gen.G eSports	S13	KR	133	71.4%	1.49	1915	201	31:30	14.1	9.4	7.4	4.3	58.6	64.7	2.56	58.9	-	1.05	53.0	0.86	0.2	980	4.98	0.89	65.7	34.6	2215	3.1	1.21	1.87
GG&Esports	S13	IT	14	14.3%	0.48	1639	-412	28:36	10.9	22.8	2.9	8.6	50.0	28.6	1.21	28.6	-	0.71	35.7	0.50	-0.9	-3547	3.43	0.43	23.1	28.3	2261	1.7	0.82	1.11
Giants	S13	ES	45	51.1%	1.20	1831	57	31:39	12.4	10.4	6.3	6.0	60.0	31.1	2.69	58.7	-	1.09	55.6	0.96	0.0	463	4.56	0.78	54.9	33.5	2115	2.8	1.07	1.41
