Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
100 Challengers	S13	NA	40	57.5%	1.24	1848	87	29:52	13.7	11.0	6.6	5.3	55.0	52.5	2.00	50.3	-	1.05	52.5	0.80	-0.1	252	4.00	0.63	58.6	33.2	2256	2.3	0.91	1.30
100 Thieves	S13	NA	51	43.1%	0.98	1758	-51	32:36	11.3	11.5	5.4	6.7	54.9	41.2	2.49	53.7	-	0.78	39.2	0.90	-0.3	-639	3.51	0.73	50.3	32.8	2045	2.9	1.14	1.51
3BL Esports	S13	AL	28	25.0%	0.73	1708	-230	31:27	13.5	18.4	4.0	8.8	50.0	28.6	1.71	35.1	-	0.82	41.1	0.68	-0.5	-1564	3.21	0.43	26.2	30.3	2126	2.3	0.90	1.23
5 Ronin	S13	TR	14	7.1%	0.54	1596	-332	29:44	7.5	13.9	2.4	9.3	42.9	28.6	1.43	34.3	-	0.64	32.1	0.64	-0.6	-2083	2.50	0.29	13.1	30.2	1779	1.6	1.03	1.10
A One Man Army	S13	BE	18	50.0%	1.08	1843	-10	30:37	15.9	14.7	6.1	6.4	50.0	61.1	2.17	49.6	-	1.50	75.0	0.78	0.1	345	5.50	0.50	38.9	31.1	2221	2.6	0.71	0.99
Aegis	S13	FR	63	49.2%	1.09	1784	9	32:16	14.3	13.1	5.9	5.8	52.4	60.3	2.27	48.3	-	1.08	54.8	0.94	0.2	237	4.14	0.79	54.3	31.5	2122	2.7	1.06	1.39
Akroma	S13	FR	36	44.4%	0.95	1775	-67	32:48	15.5	16.2	5.7	6.7	55.6	38.9	2.47	50.8	-	0.86	43.1	1.19	-0.1	-354	4.11	0.92	50.5	30.2	2266	2.5	1.04	1.30
Alior Bank Team	S13	PL	62	48.4%	0.94	1802	-26	31:07	13.8	14.8	6.1	6.0	46.8	50.0	2.02	45.8	-	0.97	50.0	0.79	-0.1	-35	3.97	0.61	39.9	32.2	2245	2.9	1.00	1.28
All Knights	S13	LAT	34	29.4%	0.58	1682	-239	30:54	9.2	15.9	3.9	7.9	38.2	32.4	1.53	35.1	-	0.76	38.2	0.76	-0.3	-1779	2.97	0.53	30.8	31.8	1947	2.6	1.22	1.35
aNc Outplayed	S13	IT	47	51.1%	1.05	1819	-12	30:46	16.4	15.6	6.0	6.4	38.3	57.4	2.26	50.6	-	1.17	58.5	0.77	0.1	149	5.47	0.60	41.7	30.6	2495	2.7	1.04	1.22
Ankora Gaming	S13	RS	28	25.0%	0.60	1666	-243	30:30	9.8	16.4	3.6	8.2	32.1	42.9	1.39	31.1	-	0.93	46.4	0.61	-0.3	-1662	3.64	0.50	30.4	30.1	1919	2.2	0.81	1.01
Anorthosis Famagusta Esports	S13	GR	80	66.3%	1.30	1920	158	30:35	15.9	12.2	7.4	4.9	63.8	65.0	2.14	51.1	-	1.08	55.0	0.58	0.3	1374	5.33	0.90	62.7	33.5	2338	2.9	0.94	1.40
Anubis Gaming	S13	AL	46	52.2%	1.05	1844	5	29:53	16.9	16.0	6.3	5.8	52.2	67.4	2.41	58.7	-	1.24	62.0	1.11	0.1	117	5.11	0.61	47.1	30.9	2505	2.6	1.12	1.18
Anyone s Legend	S13	CN	80	31.3%	0.76	1713	-176	31:48	10.6	14.0	4.4	7.5	50.0	30.0	1.95	43.3	-	-	-	-	-	-	-	0.51	33.1	31.9	2023	-	-	-
AOE Esports	S13	NA	77	41.6%	0.84	1778	-81	31:48	13.5	16.1	5.4	6.8	44.2	48.1	2.19	47.8	-	0.91	45.5	1.05	0.1	87	4.29	0.70	39.2	31.7	2341	2.6	0.81	1.23
Astralis	S13	EUW	42	40.5%	0.76	1756	-103	30:23	11.9	15.7	5.5	6.4	57.1	54.8	1.83	41.5	-	1.12	56.0	0.81	0.3	-320	5.57	0.57	44.2	30.4	2080	3.2	1.09	1.21
Atleta Esport	S13	IT	21	61.9%	1.33	1874	122	31:20	17.3	13.0	7.3	5.0	66.7	52.4	2.67	64.4	-	1.48	73.8	0.81	0.2	1101	4.52	0.95	55.8	31.5	2486	2.8	0.69	1.18
Atletec	S13	FR	54	48.1%	0.94	1819	-18	30:37	15.2	16.1	5.4	6.2	44.4	51.9	2.11	50.3	-	0.52	25.9	0.78	0.0	-211	4.02	0.65	46.5	31.9	2412	2.5	0.81	1.22
Austrian Force willhaben	S13	DE	68	63.2%	1.17	1879	118	29:17	16.3	13.9	7.3	4.8	51.5	69.1	2.34	62.1	-	1.01	50.7	0.99	0.4	1094	6.40	0.72	57.0	31.8	2568	2.6	0.80	1.19
AXIZ	S13	JP	65	35.4%	0.74	1732	-141	31:33	11.7	15.8	4.4	6.8	44.6	41.5	2.14	47.6	-	0.83	41.5	1.03	-0.3	-1169	3.43	0.57	36.9	31.8	2064	2.8	1.44	1.62
Axolotl	S13	IT	32	43.8%	0.92	1794	-89	29:27	14.4	15.6	5.4	6.6	56.3	40.6	1.97	48.3	-	0.94	46.9	0.97	-0.3	-815	4.13	0.63	46.9	31.5	2275	2.1	0.74	1.12
AYM Esports	S13	ES	47	46.8%	0.85	1815	5	32:13	13.4	15.6	6.7	6.3	38.3	46.8	2.36	53.2	-	1.13	56.4	1.15	0.0	-290	4.51	0.74	47.2	32.0	2238	2.5	1.06	1.29
Barça eSports	S13	ES	44	54.5%	1.08	1817	35	33:00	13.3	12.3	6.8	6.1	40.9	50.0	2.02	47.0	-	0.80	39.8	0.89	-0.3	-467	3.82	0.82	53.1	32.7	2152	2.7	1.01	1.43
beGenius ESC	S13	FR	32	59.4%	1.19	1819	78	33:20	16.5	13.8	7.1	5.3	53.1	53.1	2.78	59.9	-	1.34	67.2	1.00	0.1	360	4.41	0.97	59.4	30.4	2487	2.8	1.18	1.33
Benelux United	S13	BE	14	35.7%	0.80	1705	-140	31:39	11.1	13.8	4.9	7.9	57.1	21.4	2.00	38.9	-	0.57	28.6	0.86	-0.5	-1973	2.57	0.79	42.9	30.4	1892	1.9	0.68	1.10
Berlin International Gaming	S13	DE	54	55.6%	1.08	1840	42	31:33	15.2	14.1	6.5	5.8	48.1	40.7	2.39	52.5	-	1.15	58.3	1.02	-0.2	-271	4.50	0.81	54.1	31.6	2285	2.9	1.13	1.37
Besiktas Esports	S13	TR	37	37.8%	0.97	1767	-27	32:45	12.3	12.7	5.8	6.5	56.8	51.4	2.14	47.8	-	1.11	55.4	0.78	-0.2	-112	3.73	0.92	55.5	31.5	1909	2.6	1.17	1.40
Beyond Gaming	S13	PCS	62	64.5%	1.38	1853	113	32:50	14.3	10.4	7.3	4.8	66.1	64.5	2.35	52.7	-	1.10	55.6	1.02	0.2	683	4.23	0.81	60.3	33.1	2231	3.6	1.72	1.63
Bilibili Gaming	S13	CN	160	62.5%	1.20	1893	128	31:29	15.4	12.8	7.0	4.6	59.4	51.9	2.46	56.5	-	0.28	50.0	1.05	0.4	727	5.34	0.89	61.7	32.8	2322	3.7	1.32	1.70
BISONS ECLUB	S13	ES	52	53.8%	0.91	1834	-44	32:37	16.3	17.8	6.2	6.7	44.2	40.4	1.90	44.1	-	0.85	43.3	0.71	-0.1	-671	3.52	0.90	49.7	31.4	2568	2.7	0.79	1.20
BK ROG Esports	S13	FR	57	54.4%	1.09	1877	84	31:50	15.3	14.0	7.0	5.4	35.1	57.9	2.23	52.2	-	0.96	49.1	0.89	0.0	325	4.46	1.16	67.0	32.9	2555	2.9	1.06	1.43
Boavista FC	S13	PT	28	10.7%	0.47	1609	-417	28:50	10.2	21.5	2.8	9.3	39.3	14.3	1.57	39.4	-	0.43	23.2	0.96	-1.1	-3804	3.29	0.18	12.5	28.1	2053	2.1	0.61	0.89
BRION	S13	KR	89	31.5%	0.74	1716	-147	32:47	8.3	11.3	4.4	7.4	50.6	40.4	1.91	39.7	-	0.97	49.4	0.83	-0.2	-660	3.06	0.60	40.6	33.5	1850	3.0	1.48	1.85
BRO Challengers	S13	KR	82	32.9%	0.83	1719	-169	31:16	11.1	13.4	4.5	7.1	36.6	29.3	1.93	41.9	-	0.94	47.0	0.87	-0.2	-985	3.10	0.56	41.2	31.9	2070	2.8	1.32	1.50
BRUTE	S13	CZ	44	40.9%	0.77	1739	-148	30:52	13.0	16.8	4.9	7.1	45.5	34.1	1.73	36.4	-	0.91	45.5	0.73	-0.3	-1723	3.41	0.82	44.5	30.2	2301	2.6	0.89	1.19
Burning Core	S13	JP	60	41.7%	0.82	1776	-65	30:22	12.0	14.6	5.2	6.3	31.7	50.0	1.65	39.5	-	0.98	50.0	0.60	-0.1	-204	4.23	0.65	46.8	32.3	2128	2.5	1.33	1.64
Byteway Esports	S13	PT	32	46.9%	0.96	1724	-68	31:57	12.3	12.8	5.2	6.5	46.9	34.4	2.19	51.4	-	0.69	34.4	1.06	-0.2	-767	3.38	0.53	40.3	30.7	2021	2.5	1.02	1.19
Case Esports	S13	ES	62	80.6%	1.96	1951	306	30:23	16.8	8.5	8.5	3.1	74.2	77.4	2.56	61.3	-	1.58	79.0	0.95	0.4	2119	5.16	0.97	75.6	33.6	2394	2.9	1.17	1.32
Cerberus Esports	S13	VN	84	47.6%	1.02	1833	-14	30:59	13.9	13.5	5.8	6.3	51.2	46.4	2.20	52.3	-	1.05	52.4	0.88	0.0	80	4.94	0.79	51.9	32.8	2072	3.1	1.58	1.64
Chief Esports Club	S13	OCE	69	58.0%	1.34	1865	83	29:59	17.8	13.2	6.3	5.3	56.5	53.6	2.48	60.1	-	1.03	52.2	1.23	0.1	444	4.04	0.77	56.0	31.3	2374	3.1	1.12	1.27
Cincinnati Fear	S13	NA	97	58.8%	1.08	1846	46	31:12	15.6	14.4	6.8	5.6	49.5	49.5	2.26	52.0	-	1.03	51.5	0.88	0.1	125	5.26	0.73	52.6	31.8	2391	2.3	0.82	1.23
CLG	S13	NA	26	42.3%	0.89	1757	-25	35:33	12.0	13.4	5.8	6.7	38.5	42.3	2.27	43.7	-	1.04	51.9	0.73	-0.1	59	4.73	0.73	48.0	32.5	2168	2.7	1.03	1.66
CLG Challengers	S13	NA	38	60.5%	1.40	1830	133	32:59	15.0	10.8	7.2	4.7	55.3	65.8	2.47	56.7	-	1.24	61.8	0.79	0.4	1351	5.16	0.84	57.2	32.4	2363	2.4	0.98	1.30
CLG Faith	S13	NA	35	5.7%	0.37	1550	-484	26:49	6.8	18.4	1.5	9.3	40.0	11.4	1.11	34.0	-	0.49	24.3	0.63	-1.2	-3923	2.43	0.17	17.3	29.4	1737	1.9	0.75	0.94
Cloud9	S13	NA	75	66.7%	1.26	1885	131	31:05	14.0	11.1	7.0	4.8	49.3	46.7	2.51	58.4	-	1.13	56.7	1.04	-0.1	484	4.63	0.89	61.1	33.6	2327	3.3	1.04	1.60
Cloud9 Challengers	S13	NA	48	75.0%	2.07	1914	264	31:54	16.1	7.8	8.4	3.6	60.4	54.2	2.77	63.6	-	1.00	51.0	1.13	0.3	1278	4.90	1.21	77.8	32.8	2381	2.8	1.14	1.52
Crest Gaming Act	S13	JP	54	33.3%	0.74	1718	-184	30:56	10.8	14.5	4.2	7.5	38.9	29.6	1.85	41.6	-	1.15	57.4	0.83	-0.3	-1531	3.07	0.48	27.8	32.3	1980	2.9	1.39	1.46
Crvena zvezda Esports	S13	RS	32	46.9%	0.97	1787	22	32:33	13.2	13.6	6.4	5.8	46.9	53.1	2.28	48.7	-	1.13	56.3	0.84	0.0	132	4.38	1.00	53.6	31.3	2088	2.7	0.94	1.26
Cryptova	S13	CZ	28	28.6%	0.72	1673	-211	29:25	10.2	14.1	4.1	7.5	39.3	46.4	2.14	48.6	-	0.68	33.9	1.00	-0.3	-1479	3.46	0.46	33.3	30.9	1942	2.3	0.65	1.07
CTBC Flying Oyster	S13	PCS	84	57.1%	1.18	1849	105	32:55	13.4	11.3	6.6	5.3	54.8	58.3	2.64	58.7	-	1.13	56.5	1.00	0.2	1226	4.32	0.83	54.5	33.2	2125	3.4	1.45	1.73
Cyber Wolves	S13	RS	48	58.3%	1.44	1833	116	31:37	15.8	11.0	6.9	5.2	60.4	68.8	2.54	58.4	-	1.27	63.5	1.06	0.5	1677	5.00	0.73	54.6	31.1	2232	2.6	0.96	1.16
Cyberground Gaming	S13	IT	32	40.6%	0.99	1816	-54	31:18	16.5	16.8	5.4	6.9	40.6	43.8	1.91	46.3	-	0.81	40.6	0.84	-0.2	-583	4.44	0.66	46.4	30.5	2439	2.4	0.95	1.08
Dark Passage	S13	TR	38	44.7%	0.88	1762	-68	32:43	12.9	14.6	5.4	6.8	42.1	36.8	1.97	42.2	-	0.71	35.5	0.55	-0.1	-412	3.61	0.74	45.4	31.9	2097	2.6	1.02	1.33
Deep Cross Gaming	S13	PCS	56	51.8%	1.11	1831	83	33:05	13.4	12.1	6.5	5.3	57.1	57.1	2.34	53.7	-	1.02	51.8	1.02	0.2	574	4.91	0.89	57.1	32.5	2246	3.0	1.33	1.64
Detonation FocusMe	S13	JP	73	71.2%	1.52	1897	191	30:12	15.8	10.3	7.3	4.0	61.6	71.2	2.32	61.4	-	1.22	61.0	0.89	0.4	1966	5.77	0.74	66.7	32.4	2462	2.8	1.38	1.66
Dewish Team	S13	PCS	36	11.1%	0.49	1614	-390	28:54	9.6	19.6	2.6	8.8	38.9	19.4	1.25	29.7	-	0.75	37.5	0.53	-0.6	-2281	3.42	0.31	16.4	29.5	2007	2.4	1.11	1.36
Diamant Esports	S13	RS	63	61.9%	1.07	1838	108	33:07	14.1	13.2	7.2	5.3	50.8	60.3	2.65	57.7	-	1.24	61.9	0.94	0.2	427	4.54	1.10	70.2	31.9	2260	2.7	0.85	1.30
