Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
Raise Gaming	S7	TW	48	54.2%	1.05	1747	-57	35:55	11.6	11.0	5.7	6.0	52.1	47.9	1.56	45.2	-	0.31	36.6	0.46	-0.4	-948	-	0.79	51.6	31.1	1820	4.0	1.17	1.25
Rampage	S7	JP	14	21.4%	0.83	1673	-199	33:17	10.1	12.2	3.4	8.0	42.9	28.6	1.21	36.1	-	0.07	16.7	0.50	-0.9	-1097	-	0.29	22.2	30.8	1611	3.2	0.83	1.22
Red Bulls	S7	EUW	14	50.0%	1.50	1831	123	36:12	12.1	8.1	6.9	5.2	78.6	78.6	2.43	65.5	-	0.64	69.2	0.50	0.6	1281	-	0.79	47.0	31.3	1932	3.9	1.17	1.51
Red Canids	S7	BR	55	69.1%	1.20	1829	123	38:06	13.1	10.9	8.4	5.6	65.5	63.6	1.80	52.8	-	0.33	56.3	0.35	0.5	1103	-	1.15	64.0	30.9	1908	3.7	1.06	1.30
Remo Brave e-Sports	S7	BR	14	21.4%	0.80	1657	-174	39:13	10.7	13.4	4.7	8.5	35.7	28.6	1.50	35.1	-	0.07	25.0	0.43	-0.5	-792	-	0.50	31.4	29.9	1649	3.3	0.71	1.18
RoX	S7	CIS	29	27.6%	0.78	1696	-151	36:17	11.8	15.1	4.8	8.0	31.0	34.5	1.62	47.4	-	0.48	70.0	0.45	-0.2	-1452	-	0.52	32.4	29.3	1915	3.4	0.95	1.08
ROX Tigers	S7	KR	98	42.9%	0.86	1771	-78	36:17	11.2	12.9	5.8	7.2	42.9	42.9	1.48	40.6	-	0.20	36.4	0.41	-0.1	-619	-	0.76	41.5	31.9	1865	3.9	1.04	1.44
Royal Never Give Up	S7	CN	113	64.6%	1.39	1842	121	36:10	13.2	9.5	7.4	5.1	6.2	7.1	2.10	57.6	-	0.08	47.4	0.32	-0.3	-208	-	0.16	56.1	31.8	1898	3.5	1.05	1.39
Samsung Galaxy	S7	KR	128	68.8%	1.19	1867	128	36:05	11.0	9.3	7.7	4.8	53.1	57.0	2.02	57.7	-	0.20	40.0	0.46	0.2	483	-	0.88	60.0	33.7	1972	3.7	1.07	1.51
Sin Gaming	S7	OCE	5	60.0%	0.93	1871	34	37:07	17.0	18.2	7.4	6.2	40.0	60.0	0.20	8.3	-	0.40	50.0	0.00	2.0	2266	-	0.60	58.3	31.2	1964	3.7	1.20	1.28
