Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
100 Thieves	S12	NA	76	56.6%	1.15	1788	23	32:23	12.5	10.9	6.2	5.5	47.4	42.1	2.39	52.4	-	1.05	53.3	0.82	0.0	162	4.05	0.76	57.4	32.5	1931	3.4	1.32	1.52
100 Thieves Academy	S12	NA	117	58.1%	1.13	1859	60	32:23	15.2	13.5	6.9	5.7	49.6	48.7	2.10	45.8	-	0.91	47.4	0.65	0.0	573	4.49	0.74	50.4	33.1	2185	2.8	0.96	1.26
100 Thieves Next	S12	NA	13	38.5%	0.89	1769	-53	30:18	12.0	13.5	5.2	6.5	69.2	46.2	1.77	45.3	-	0.54	26.9	0.54	0.1	-197	4.00	0.54	50.0	31.6	1941	3.0	1.03	1.27
5 Ronin	S12	TR	42	31.0%	0.67	1689	-235	29:15	10.4	15.6	3.9	7.7	35.7	33.3	1.69	39.2	-	0.76	38.1	0.90	-0.6	-1741	3.67	0.36	28.3	31.0	1787	3.0	1.21	1.27
5 Ronin Academy	S12	TR	34	17.6%	0.60	1681	-270	30:03	10.9	18.2	3.5	8.1	55.9	32.4	1.62	36.8	-	0.65	33.8	0.71	-0.4	-1345	3.18	0.44	28.4	30.9	1762	2.4	0.92	1.08
AGO ROGUE	S12	PL	67	71.6%	1.59	1938	224	31:58	19.2	11.9	7.8	4.6	49.3	50.7	2.39	53.4	-	1.13	60.4	0.70	0.0	1141	5.09	0.75	60.2	33.3	2355	2.9	0.98	1.23
All Knights	S12	LAT	33	30.3%	0.79	1777	-72	33:45	12.2	15.3	5.2	7.4	42.4	63.6	2.30	49.5	-	0.79	39.4	0.91	-0.1	-224	3.70	0.61	36.4	33.2	1888	3.3	1.28	1.46
aNc Outplayed	S12	IT	50	56.0%	1.03	1822	50	32:05	14.9	14.5	6.6	5.8	46.0	58.0	2.40	53.0	-	0.86	44.0	0.84	0.0	277	4.76	0.78	57.3	31.4	2281	2.9	1.12	1.36
Anorthosis Famagusta Esports	S12	GR	53	64.2%	1.17	1892	111	30:30	17.0	14.5	6.9	5.2	56.6	52.8	2.45	53.5	-	1.25	64.2	0.98	-0.1	-39	5.21	0.85	61.6	31.4	2273	3.0	1.09	1.28
Anyone s Legend	S12	CN	81	40.7%	0.92	1765	-94	31:29	12.8	13.9	4.9	6.8	60.5	33.3	2.15	48.9	-	-	-	-	-	0	-	0.67	48.5	32.2	1901	-	-	-
AOE Esports	S12	NA	6	33.3%	0.91	1767	-130	29:59	15.3	16.7	4.5	7.3	83.3	33.3	2.17	52.8	-	0.33	16.7	0.83	-0.8	-1118	5.00	0.50	46.7	31.0	2186	2.6	0.73	1.09
Area of Effect Ginger Turmeric	S12	NA	13	53.8%	0.84	1803	-13	29:59	11.7	14.0	5.5	6.4	53.8	38.5	2.69	63.1	-	0.46	23.1	1.46	-0.2	-263	4.92	0.85	61.5	31.7	2052	2.7	0.70	1.11
AS Esports	S12	VN	30	20.0%	0.67	1768	-267	28:43	12.5	18.4	3.2	8.7	53.3	23.3	1.27	31.0	-	0.83	41.7	0.57	-1.0	-2167	3.90	0.30	23.3	31.8	2068	3.1	1.34	1.31
Astralis	S12	EUW	36	27.8%	0.83	1731	-122	34:36	11.9	14.3	4.9	8.0	52.8	33.3	2.03	42.2	-	0.67	33.3	0.67	-0.4	-859	3.56	0.67	38.0	31.8	1962	3.5	1.35	1.44
Astralis Talent	S12	EUW	43	44.2%	1.02	1748	-31	34:06	14.7	14.4	6.0	6.0	51.2	62.8	2.40	48.3	-	1.07	53.5	0.77	0.2	30	4.21	0.67	49.6	30.6	2160	2.8	1.08	1.43
Atleta Esport	S12	IT	47	55.3%	1.12	1823	48	32:50	16.1	14.3	6.6	5.6	44.7	57.4	2.62	54.9	-	1.11	56.4	0.83	0.2	393	5.43	0.79	60.0	31.7	2128	2.9	1.09	1.37
Atletec	S12	FR	43	48.8%	1.00	1778	12	34:04	14.3	14.3	6.2	6.3	44.2	37.2	2.37	46.6	-	0.88	44.2	1.00	-0.2	-118	3.91	0.95	56.6	31.3	2156	3.0	1.26	1.34
Auxesis Esports	S12	RS	35	40.0%	0.90	1759	-70	32:06	14.5	16.1	5.7	6.9	34.3	51.4	2.14	44.4	-	1.37	70.0	0.97	0.2	43	5.06	0.54	40.4	30.5	2066	2.7	0.94	1.11
AXIZ	S12	JP	42	23.8%	0.48	1646	-293	31:28	8.1	17.1	3.6	8.2	31.0	35.7	1.67	32.5	-	1.00	50.0	0.74	-0.3	-2200	3.81	0.33	18.8	31.0	1622	3.5	1.49	1.42
Axolotl	S12	IT	28	46.4%	1.13	1792	-12	31:02	14.8	13.1	5.7	6.3	53.6	50.0	2.36	51.8	-	0.75	39.3	0.86	-0.2	190	4.36	0.64	48.0	31.5	2060	3.0	1.16	1.18
AYM Esports	S12	ES	18	38.9%	0.89	1780	-32	32:10	14.2	16.0	5.7	6.3	44.4	61.1	2.39	48.6	-	0.83	44.4	1.06	0.2	268	4.22	0.72	50.0	31.0	2241	2.7	1.00	1.21
Barça eSports	S12	ES	56	55.4%	1.05	1821	53	32:05	13.9	13.2	6.8	5.7	53.6	58.9	2.11	45.4	-	0.88	44.6	0.75	0.0	1	4.14	0.75	50.2	32.5	2035	3.0	1.18	1.42
beGenius ESC	S12	FR	36	16.7%	0.63	1650	-230	31:28	9.9	15.6	3.8	8.1	52.8	41.7	1.67	34.5	-	0.78	38.9	0.69	-0.2	-1346	3.17	0.36	23.3	30.4	1854	3.3	1.27	1.28
Berlin International Gaming	S12	DE	51	54.9%	1.05	1795	-10	31:48	14.2	13.5	6.1	6.0	35.3	39.2	2.35	51.9	-	0.76	39.2	0.94	-0.2	-333	4.16	0.55	46.7	32.0	2027	2.9	1.16	1.44
Besiktas Academy	S12	TR	45	60.0%	1.19	1802	79	31:38	13.9	11.7	6.5	5.3	42.2	57.8	2.36	51.8	-	1.00	50.0	0.93	0.1	652	3.84	0.93	65.5	31.8	1836	3.1	1.24	1.30
Besiktas Esports	S12	TR	36	36.1%	0.84	1734	-115	30:24	12.1	14.4	4.5	7.0	50.0	36.1	1.92	43.5	-	0.97	48.6	0.78	-0.3	-568	3.47	0.44	36.8	31.6	1799	3.1	1.26	1.35
Beyond Gaming	S12	PCS	72	55.6%	1.12	1790	36	31:39	13.7	12.2	6.0	5.4	58.3	63.9	2.32	54.0	-	1.07	54.9	0.85	0.3	538	4.46	0.58	48.9	31.7	1976	3.3	1.47	1.43
Bifrost	S12	EUW	68	60.3%	1.14	1809	30	32:45	15.5	13.5	6.5	5.7	30.9	54.4	2.31	48.1	-	0.99	50.0	0.74	0.3	141	5.03	0.68	46.7	31.4	2081	3.1	1.24	1.31
