Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
Bilibili Gaming	S12	CN	102	50.0%	1.02	1814	23	32:23	13.2	12.9	6.3	5.9	52.9	50.0	2.24	50.6	-	-	-	-	-	0	-	0.62	47.1	32.7	2040	-	-	-
Bilibili Live	S12	CN	4	25.0%	0.51	1607	-434	28:32	12.5	24.8	2.5	9.3	25.0	25.0	1.25	32.5	-	-	-	-	-	-	-	0.50	33.3	28.7	1783	-	-	-
BISONS ECLUB	S12	ES	73	52.1%	1.03	1790	-24	32:12	14.3	13.8	5.8	6.2	45.2	43.8	2.34	51.0	-	0.71	37.0	0.59	-0.1	-411	4.15	0.59	49.0	31.9	2138	2.9	1.01	1.32
BK ROG Esports	S12	FR	36	44.4%	0.88	1774	-36	32:51	14.0	16.0	6.7	6.7	55.6	61.1	2.28	47.6	-	1.03	52.8	0.78	0.3	358	5.19	0.72	48.1	30.9	2109	3.1	1.15	1.33
Black Star Gaming	S12	CIS	4	75.0%	1.65	1903	212	30:35	16.5	10.0	7.8	4.3	75.0	100.0	3.25	78.8	-	1.25	62.5	1.25	1.0	2577	7.75	0.75	50.0	32.5	1761	2.9	1.09	1.34
Boavista FC	S12	PT	27	11.1%	0.56	1608	-333	29:55	10.4	18.3	3.4	8.9	59.3	25.9	1.93	42.8	-	0.67	33.3	1.04	-0.6	-1811	3.67	0.15	13.5	28.7	1895	2.8	1.10	1.06
BRO Challengers	S12	KR	78	37.2%	0.75	1754	-127	31:08	12.4	16.5	5.1	6.9	42.3	43.6	1.90	42.8	-	1.05	52.6	0.86	-0.2	-532	4.71	0.49	38.3	31.5	1970	2.9	1.25	1.55
BRUTE	S12	CZ	28	39.3%	0.85	1735	-109	31:10	13.3	15.8	5.3	6.8	35.7	28.6	2.11	44.4	-	0.64	35.7	0.89	-0.6	-1487	3.50	0.54	42.0	30.8	2085	2.7	0.95	1.09
Burning Core	S12	JP	53	41.5%	0.87	1751	-47	33:09	11.5	13.1	5.3	6.4	54.7	45.3	2.11	45.0	-	0.81	42.3	0.51	-0.1	-69	3.51	0.57	42.9	32.6	1933	3.3	1.45	1.69
Burst The Sky Esports	S12	VN	33	36.4%	0.79	1809	-153	28:44	14.2	18.0	4.6	7.3	39.4	36.4	1.55	37.3	-	1.03	51.5	0.73	-0.3	-895	5.12	0.36	33.9	33.0	1933	3.3	1.34	1.42
Case Esports	S12	ES	26	65.4%	1.42	1879	190	31:58	14.4	10.0	7.8	4.9	57.7	76.9	2.62	57.6	-	1.38	72.0	1.20	0.4	1766	6.20	0.88	72.2	32.4	2191	3.3	1.19	1.36
Cerberus Esports	S12	VN	70	50.0%	1.03	1832	-20	31:04	15.1	14.6	6.1	5.9	51.4	54.3	2.17	52.0	-	1.17	58.6	0.86	0.2	289	5.79	0.67	48.3	31.9	2127	3.4	1.52	1.52
Chief Esports Club	S12	OCE	64	79.7%	1.59	1973	277	29:26	17.9	11.2	8.0	3.7	57.8	70.3	2.69	66.7	-	1.31	67.2	1.06	0.8	2469	6.97	0.86	71.7	33.1	2275	3.4	1.30	1.38
Cincinnati Fear	S12	NA	5	20.0%	0.59	1680	-254	34:41	11.4	19.2	4.0	8.6	80.0	20.0	2.60	58.6	-	0.60	30.0	1.20	-0.4	-131	3.60	0.40	20.0	30.8	2131	3.2	0.89	1.36
CLG	S12	NA	58	46.6%	0.84	1754	-66	33:34	11.6	13.8	5.8	6.5	55.2	39.7	2.14	46.3	-	0.83	42.2	0.69	-0.2	-747	4.45	0.78	46.2	32.1	2046	3.1	1.17	1.47
CLG Academy	S12	NA	91	56.0%	1.05	1856	80	32:27	15.0	14.3	7.1	5.7	54.9	69.2	2.23	50.5	-	1.16	58.8	0.80	0.4	873	5.35	0.88	57.2	32.6	2224	2.8	1.09	1.33
CLG Faith	S12	NA	2	0.0%	0.46	1672	-298	30:52	10.5	22.5	2.5	10.0	100.0	50.0	0.00	0.0	-	2.00	100.0	0.00	-1.5	-1781	6.50	0.00	0.0	29.2	1915	2.7	0.76	0.80
Cloud9	S12	NA	78	57.7%	1.08	1830	74	32:27	12.9	11.9	6.3	5.4	51.3	56.4	2.54	57.0	-	0.97	49.4	0.92	-0.1	296	4.29	0.71	55.0	33.8	2025	3.0	0.90	1.45
Cloud9 Academy	S12	NA	97	58.8%	1.18	1854	66	30:57	15.1	12.8	6.6	5.3	48.5	41.2	2.39	53.7	-	0.78	41.2	0.94	-0.2	77	4.95	0.65	54.4	33.0	2114	2.8	0.78	1.19
Crest Gaming Act	S12	JP	50	40.0%	0.81	1750	-86	32:07	11.5	14.2	5.0	6.8	38.0	46.0	2.54	52.7	-	1.18	60.2	1.12	0.0	-244	3.70	0.48	36.3	32.5	1818	3.1	1.41	1.37
CrowCrowd	S12	CIS	4	25.0%	0.75	1598	-274	30:44	9.8	13.0	2.0	7.3	-	25.0	1.50	27.9	-	0.50	25.0	0.25	-0.8	-2978	2.50	0.00	0.0	30.8	1428	2.8	1.20	1.00
Crvena zvezda Esports	S12	RS	56	60.7%	1.11	1846	88	30:48	16.1	14.4	6.0	5.4	57.1	50.0	2.36	55.5	-	0.93	46.4	1.00	0.1	595	4.96	0.73	58.8	31.8	2196	2.7	0.90	1.08
Cryptova	S12	CZ	28	42.9%	0.92	1735	-107	31:05	14.9	16.3	5.2	6.9	67.9	39.3	2.11	45.8	-	0.79	39.3	0.64	-0.3	-989	3.50	0.50	40.7	29.6	2204	2.9	1.07	1.13
CTBC Flying Oyster	S12	PCS	75	68.0%	1.32	1884	199	30:44	13.2	9.9	7.5	4.1	54.7	66.7	2.67	61.7	-	1.12	56.7	1.17	0.5	1680	5.91	0.79	66.7	33.3	2027	3.3	1.31	1.48
CTRL PLAY	S12	CIS	4	0.0%	0.30	1534	-444	27:50	5.0	16.8	2.0	10.0	50.0	50.0	0.00	0.0	-	1.00	50.0	0.00	-0.3	-2672	4.75	0.00	0.0	29.0	1354	2.1	0.99	1.19
Cyber Wolves	S12	RS	28	42.9%	0.99	1737	-23	31:48	13.1	13.2	5.8	6.1	53.6	57.1	2.07	43.7	-	1.04	51.8	0.54	0.1	321	4.57	0.50	38.9	30.4	1967	2.8	1.09	1.17
Cyberground Gaming	S12	IT	35	48.6%	1.04	1777	-27	33:47	14.6	14.1	6.0	6.5	60.0	40.0	2.03	42.3	-	1.17	60.0	0.71	-0.1	-72	4.40	0.60	43.6	31.6	2223	3.1	1.12	1.33
Dark Passage	S12	TR	50	56.0%	1.08	1795	10	32:04	14.1	13.0	6.1	5.9	40.0	50.0	2.62	55.9	-	1.02	51.0	0.94	0.1	-151	4.44	0.72	49.3	31.5	1867	2.7	1.06	1.34
Dark Passage Academy	S12	TR	45	60.0%	1.17	1821	91	32:19	14.6	12.4	6.8	5.1	48.9	53.3	2.78	58.6	-	0.96	48.9	1.02	0.1	393	4.47	0.87	60.6	32.0	1989	2.6	0.93	1.20
Dark Tigers	S12	CZ	28	21.4%	0.53	1676	-273	29:17	10.1	19.1	3.7	8.1	42.9	32.1	1.46	34.3	-	0.75	39.3	0.86	-0.5	-1586	3.96	0.32	28.8	30.9	1769	2.6	0.96	0.96
Deep Cross Gaming	S12	PCS	62	61.3%	1.20	1830	112	31:46	14.2	11.8	6.6	5.0	62.9	58.1	2.55	57.8	-	1.13	57.3	0.90	0.3	1071	5.31	0.79	56.4	31.5	1998	3.2	1.22	1.55
Detonation FocusMe	S12	JP	77	75.3%	1.74	1932	257	29:51	16.8	9.6	7.6	3.6	63.6	75.3	2.18	58.2	-	1.19	59.7	0.66	0.5	2278	5.81	0.78	69.5	33.1	2202	3.1	1.31	1.55
devils.one	S12	PL	36	22.2%	0.63	1658	-226	31:50	10.7	17.0	4.2	8.2	50.0	38.9	2.28	48.3	-	1.06	52.8	1.08	-0.3	-1078	4.11	0.50	32.9	29.5	1841	2.8	0.98	1.09
Dewish Team	S12	PCS	36	11.1%	0.40	1596	-404	27:42	7.1	17.8	2.7	8.6	33.3	16.7	1.06	23.7	-	0.61	31.4	0.60	-1.1	-2972	3.43	0.17	16.7	30.5	1674	2.9	1.21	1.31
Diamant Esports	S12	RS	36	52.8%	1.07	1748	-25	33:01	15.7	14.6	5.8	5.9	47.2	44.4	2.56	51.4	-	0.86	44.4	1.06	-0.1	-853	3.92	0.86	62.0	29.5	2141	2.7	0.91	1.14
Dignitas	S12	NA	46	32.6%	0.85	1717	-121	33:37	9.7	11.5	4.7	7.5	39.1	45.7	2.37	49.4	-	0.70	34.8	0.96	-0.1	-619	3.39	0.54	39.0	32.8	1687	3.2	1.26	1.61
Dignitas Academy	S12	NA	95	55.8%	1.08	1794	4	32:26	14.8	13.7	6.5	5.9	51.6	51.6	2.47	52.6	-	1.08	54.7	0.92	0.1	-192	4.25	0.87	57.1	31.0	2201	2.9	1.16	1.30
Dire Wolves	S12	OCE	49	44.9%	0.99	1787	-45	30:47	15.1	15.1	5.8	6.4	59.2	49.0	2.10	45.3	-	1.00	50.0	0.80	-0.1	-118	4.90	0.65	46.4	30.6	1985	3.1	1.21	1.22
DK Challengers	S12	KR	100	61.0%	1.16	1871	86	31:39	14.1	12.1	6.8	5.2	50.0	61.0	2.24	50.4	-	0.89	45.5	0.78	0.3	391	4.84	0.80	62.6	34.0	1969	3.3	1.44	1.59
DK Crew	S12	NA	2	0.0%	0.49	1614	-413	30:47	13.0	26.5	1.5	8.5	50.0	50.0	2.00	50.0	-	0.00	0.0	0.50	-0.5	-1875	2.00	0.00	0.0	29.0	2072	3.2	1.11	1.28
DKJH	S12	KR	3	33.3%	0.49	1710	-381	30:11	12.0	24.3	4.0	8.7	33.3	66.7	0.67	16.7	-	1.33	66.7	0.00	0.3	-1681	4.33	0.33	16.7	30.4	1739	3.1	1.05	1.50
Dragon Army	S12	CIS	4	25.0%	0.78	1738	-133	30:31	11.3	14.5	4.5	6.3	25.0	-	2.25	43.3	-	0.75	50.0	1.25	-1.0	-1049	4.75	0.25	50.0	33.2	1675	2.9	1.34	1.16
DRX	S12	KR	131	55.0%	1.03	1787	24	34:15	12.0	11.6	6.4	5.6	47.3	54.2	2.27	45.3	-	1.17	59.2	0.66	0.0	83	4.05	0.82	57.9	32.7	2069	3.5	1.52	1.79
DRX Challengers	S12	KR	89	61.8%	1.21	1857	98	32:47	14.8	12.1	6.7	5.0	60.7	50.6	2.84	59.2	-	1.04	52.2	0.96	0.1	451	3.89	0.74	59.2	33.4	2047	3.3	1.36	1.76
Dusty	S12	EUW	66	65.2%	1.32	1856	133	30:52	15.5	11.8	7.1	4.5	51.5	54.5	2.50	56.4	-	1.24	62.1	0.95	0.3	1013	5.32	0.86	71.7	32.0	2147	2.9	1.03	1.31
DWG KIA	S12	KR	117	60.7%	1.26	1803	81	34:16	12.6	10.0	7.0	5.4	50.4	62.4	2.75	55.6	-	1.15	57.7	0.78	0.3	861	5.36	0.81	57.6	32.2	2007	3.6	1.50	1.63
Dynamo Eclot	S12	CZ	45	64.4%	1.20	1826	86	32:31	16.0	13.3	6.9	5.7	44.4	55.6	2.87	59.3	-	0.82	42.2	1.02	0.2	398	4.51	0.76	61.8	31.3	2096	2.9	1.14	1.29
E WIE EINFACH E-SPORTS	S12	DE	36	27.8%	0.78	1703	-192	30:18	12.5	16.1	4.4	7.8	58.3	27.8	2.00	43.6	-	0.89	45.8	1.11	-0.3	-1502	3.31	0.36	29.3	29.7	1988	3.0	0.92	1.14
Edward Gaming	S12	CN	123	59.3%	1.25	1844	98	32:01	13.6	10.9	6.8	5.4	52.0	57.7	2.52	57.9	-	0.11	63.6	0.64	0.0	493	4.64	0.75	57.5	32.6	2142	3.2	1.23	1.73
EGN Esports	S12	PT	57	59.6%	1.14	1802	48	32:44	17.7	15.5	6.8	5.6	49.1	50.9	2.61	54.7	-	0.88	44.7	1.05	-0.2	-30	4.82	0.79	56.0	29.7	2312	3.0	1.08	1.20
Eintracht Spandau	S12	DE	53	58.5%	1.04	1854	76	33:27	14.9	14.3	7.6	5.5	58.5	73.6	2.68	55.8	-	1.21	61.3	1.11	0.5	886	5.75	1.02	63.4	32.1	2223	3.3	1.43	1.47
eMonkeyz SD Huesca	S12	ES	18	38.9%	0.87	1698	-86	33:28	10.8	12.4	4.9	7.1	44.4	33.3	2.50	49.9	-	0.72	36.1	1.00	-0.3	-1028	3.06	0.39	37.5	31.2	1812	2.6	0.88	1.12
Entropiq	S12	CZ	58	65.5%	1.46	1891	195	29:38	15.8	10.8	7.2	4.6	65.5	60.3	2.26	54.4	-	1.34	67.2	0.83	0.3	1917	6.36	0.81	67.3	32.3	2153	3.0	1.14	1.19
EQX	S12	CN	4	25.0%	0.64	1507	-182	39:20	10.3	16.0	4.5	7.5	-	50.0	2.00	38.3	-	-	-	-	-	-	-	0.50	22.2	27.9	1428	-	-	-
Esport Empire	S12	IT	28	28.6%	0.66	1672	-212	31:21	10.0	15.2	4.2	7.6	32.1	35.7	2.00	41.2	-	0.79	39.3	0.71	-0.4	-2036	3.29	0.43	30.3	31.3	1774	2.6	1.04	1.17
Estral Esports	S12	LAT	56	62.5%	1.29	1840	126	32:28	16.0	12.3	7.2	4.6	46.4	62.5	2.48	57.5	-	1.14	59.1	0.68	0.3	682	4.95	0.86	68.4	32.0	2164	3.3	1.35	1.50
eSuba	S12	CZ	67	52.2%	0.93	1818	22	30:56	15.4	16.5	6.3	5.4	44.8	64.2	2.39	54.4	-	1.22	62.7	1.10	0.2	273	4.75	0.58	47.7	31.2	2191	3.3	1.35	1.34
Evil Geniuses	S12	NA	123	61.0%	1.28	1832	103	32:47	14.2	11.0	6.9	5.0	43.9	57.7	2.25	52.2	-	1.15	58.1	0.72	0.1	436	5.09	0.79	62.4	32.6	2037	3.2	1.11	1.43
Evil Geniuses Academy	S12	NA	88	40.9%	0.92	1779	-68	32:23	14.0	15.2	5.3	7.2	50.0	44.3	2.24	47.0	-	0.92	46.6	0.91	-0.2	-405	4.67	0.49	38.8	31.8	2055	2.8	1.05	1.17
Evil Geniuses Prodigies	S12	NA	9	22.2%	0.75	1833	-144	28:59	16.0	21.1	4.6	7.7	33.3	22.2	1.11	24.8	-	0.44	22.2	0.67	-0.9	-956	5.00	0.33	22.2	31.5	2264	2.9	1.01	1.07
Excel Esports	S12	EUW	47	48.9%	0.95	1774	-18	34:05	12.9	13.6	6.6	6.2	51.1	55.3	2.30	49.3	-	0.96	47.9	0.85	-0.1	-285	4.58	0.77	55.2	31.3	2025	3.6	1.39	1.47
Falcons	S12	ES	25	48.0%	0.99	1729	-46	32:28	13.1	13.3	5.5	6.4	40.0	24.0	2.32	47.3	-	0.76	40.0	0.92	-0.4	-1228	2.92	0.60	45.7	30.7	2048	2.9	1.28	1.24
FC Nantes	S12	FR	36	25.0%	0.67	1682	-214	31:42	11.6	17.5	3.8	8.0	36.1	22.2	1.67	36.3	-	0.81	40.3	0.67	-0.4	-785	3.19	0.39	25.7	31.2	1934	2.8	1.12	1.30
FC Schalke 04 Evolution	S12	DE	61	57.4%	1.07	1859	64	32:38	14.5	13.5	6.4	5.5	49.2	59.0	2.31	50.4	-	1.11	55.7	0.67	0.2	607	5.28	0.95	61.5	33.6	2155	3.2	1.21	1.51
Fenerbahçe Academy	S12	TR	44	70.5%	1.23	1857	152	30:06	14.4	11.8	7.8	4.0	47.7	65.9	2.27	56.0	-	1.25	62.5	0.82	0.4	664	5.45	0.91	73.9	31.9	2013	2.9	1.17	1.12
Fenerbahce Esports	S12	TR	50	46.0%	0.93	1799	-16	32:25	13.6	14.6	5.7	6.3	52.0	44.0	2.18	47.0	-	1.02	51.0	0.88	-0.1	147	4.44	0.64	45.6	32.2	2017	3.5	1.30	1.46
Flamengo Academy	S12	BR	54	61.1%	1.06	1821	59	32:30	14.6	13.8	6.8	5.7	50.0	50.0	2.50	56.1	-	1.13	56.5	0.89	0.2	179	4.33	0.87	57.7	32.2	2032	3.4	1.45	1.45
Flamengo Los Grandes	S12	BR	36	30.6%	0.77	1717	-132	33:50	11.4	14.9	4.8	7.9	38.9	30.6	2.08	42.5	-	0.64	33.3	0.94	-0.4	-972	3.94	0.56	34.7	32.0	1790	3.4	1.47	1.48
FlyQuest	S12	NA	58	44.8%	0.85	1731	-86	34:06	10.7	12.4	5.6	7.0	46.6	36.2	2.17	44.0	-	0.97	48.3	0.83	-0.2	-716	4.24	0.62	38.1	32.5	1757	3.1	1.31	1.47
FlyQuest Academy	S12	NA	97	50.5%	1.00	1808	-6	32:13	15.0	14.9	6.2	6.3	46.4	54.6	2.30	50.8	-	0.92	45.9	0.90	0.2	-5	4.71	0.70	53.5	31.6	2253	2.9	1.09	1.28
Fnatic	S12	EUW	76	57.9%	1.02	1825	64	32:46	13.3	13.0	6.7	5.8	40.8	56.6	2.59	57.9	-	0.95	48.0	0.83	0.1	576	5.27	0.75	53.5	32.9	2186	3.3	1.08	1.46
Fnatic TQ	S12	ES	52	65.4%	1.22	1859	138	32:13	15.8	12.9	7.8	4.9	59.6	59.6	2.77	61.0	-	1.31	65.4	1.06	0.1	1222	5.04	0.90	65.6	32.0	2060	3.4	1.36	1.33
For The Win Esports	S12	PT	62	69.4%	1.31	1890	176	31:32	18.3	13.9	7.8	4.8	46.8	53.2	2.47	54.6	-	0.98	49.2	1.03	0.3	622	6.76	0.92	72.7	30.2	2315	2.9	1.04	1.22
Forsaken	S12	PL	40	42.5%	0.81	1749	-67	32:17	12.0	14.9	5.6	6.6	62.5	52.5	2.05	42.5	-	0.75	38.8	0.53	0.2	193	5.03	0.68	49.6	31.5	1992	2.9	0.99	1.18
Frank Esports	S12	PCS	54	48.1%	1.18	1774	5	31:20	14.0	11.8	5.6	6.1	48.1	42.6	2.17	50.7	-	0.72	37.0	1.02	-0.3	-162	4.19	0.63	52.1	31.5	2001	3.6	1.35	1.60
Fredit BRION	S12	KR	89	36.0%	0.82	1732	-88	34:31	9.8	12.0	5.2	6.9	52.8	33.7	2.39	47.0	-	0.89	44.9	0.96	-0.3	-597	3.62	0.70	43.7	33.0	1702	3.7	1.60	1.96
Funplus Phoenix	S12	CN	107	49.5%	0.94	1833	4	31:24	12.9	13.7	6.2	6.2	50.5	50.5	2.30	51.9	-	-	-	-	-	0	-	0.64	47.7	33.0	1976	-	-	-
FURIA Academy	S12	BR	40	45.0%	1.04	1815	19	32:40	15.6	15.0	6.6	6.9	57.5	50.0	1.80	39.7	-	1.13	56.3	0.70	-0.3	-84	4.33	0.70	43.8	31.2	1974	3.3	1.43	1.50
FURIA Esports	S12	BR	57	59.6%	1.07	1819	61	34:02	14.3	13.4	7.5	5.8	50.9	57.9	2.35	49.4	-	1.02	50.9	0.72	0.1	171	4.88	0.86	55.8	32.3	1986	3.7	1.59	1.68
G2 Arctic	S12	ES	45	48.9%	0.94	1792	11	33:47	14.1	15.0	6.8	6.0	51.1	66.7	2.56	55.9	-	1.20	61.1	0.96	0.4	767	4.98	0.62	43.2	31.4	2308	3.1	1.18	1.40
G2 Esports	S12	EUW	89	62.9%	1.27	1838	69	32:02	14.9	11.8	6.8	5.6	56.2	47.2	2.46	54.7	-	1.00	50.6	0.71	0.0	-148	5.30	0.80	56.6	32.2	2006	3.2	1.10	1.59
Galakticos	S12	TR	36	25.0%	0.74	1727	-161	31:39	11.6	15.7	4.3	7.9	52.8	47.2	1.72	35.7	-	0.97	48.6	0.86	-0.2	-312	4.31	0.67	40.5	31.7	1753	3.0	1.18	1.28
Galakticos Academy	S12	TR	35	42.9%	0.78	1724	-111	32:28	11.5	14.7	5.5	6.7	57.1	48.6	2.11	44.9	-	1.06	52.9	0.91	-0.1	-140	5.31	0.57	35.2	31.1	1822	2.8	1.03	1.14
Galatasaray Academy	S12	TR	35	42.9%	0.93	1760	-41	31:31	12.0	12.9	5.9	6.8	45.7	42.9	2.43	51.0	-	0.94	47.1	0.86	-0.1	-531	5.17	0.80	50.0	31.2	1674	3.0	1.24	1.21
Galatasaray Esports	S12	TR	47	53.2%	0.92	1838	92	33:20	13.3	14.5	7.0	5.2	55.3	74.5	2.17	46.2	-	1.06	53.2	0.74	0.4	1459	6.00	0.77	55.4	32.7	2031	3.0	1.28	1.50
GAM Esports	S12	VN	89	75.3%	1.38	1983	219	29:39	18.2	13.1	7.7	3.9	48.3	60.7	2.64	64.9	-	1.07	53.9	1.01	0.3	890	6.19	0.92	72.1	33.7	2368	3.6	1.37	1.54
GamerLegion	S12	DE	52	51.9%	1.01	1788	-26	31:24	14.5	14.4	6.3	6.3	46.2	40.4	2.56	53.7	-	0.75	38.5	1.10	-0.2	-585	4.42	0.63	47.0	31.5	2199	3.1	1.11	1.27
