,,,,,,,,,,,,,,,,,,,,
Player,Team,POS,M,G,W,L,K,D,A,KDA,KP%,KS%,CS,CSM,GLD%,DPM,FB,DTH%,WPM,WCPM
Burdol,LGD Gaming,TOP,4,4,3,1,14,8,28,5.3,49.4,16.5,826,7.4,18.7,547.8,0,16.7,0.35,0.16
Doggo,Ultra Prime,ADC,2,2,1,1,14,7,16,4.3,76.9,35.9,596,9.7,25.2,941.6,0,28.0,0.57,0.42
Fearness,LGD Gaming,TOP,5,7,2,5,14,24,16,1.3,37.0,17.3,1917,8.5,22.0,355.2,0,21.4,0.35,0.22
Gala,SinoDragon Gaming,ADC,2,4,1,3,14,12,14,2.3,62.2,31.1,1233,10.0,25.0,0.0,0,19.4,0.00,0.00
Invincible,Victory Five,TOP,5,7,4,3,14,25,26,1.6,40.0,14.0,1573,8.1,20.9,476.8,1,26.9,0.31,0.24
LvMao,JD Gaming,SUP,11,27,16,11,14,89,225,2.7,63.2,3.7,918,1.0,11.4,119.3,1,26.1,1.16,0.28
Weiwei,Suning,ADC,4,4,1,3,14,8,16,3.8,54.5,25.5,1169,9.1,23.4,437.3,0,14.8,0.29,0.45
Xiamu,EDward Gaming,SUP,7,16,8,8,14,42,164,4.2,70.4,5.5,682,1.4,12.6,178.4,1,18.5,1.43,0.30
997,ShadowCream,TOP,3,6,2,4,13,13,19,2.5,62.7,25.5,1498,9.0,23.7,240.0,0,17.6,0.16,0.04
Angel,TyLoo,MID,2,4,1,3,13,12,17,2.5,69.8,30.2,1020,8.6,22.0,329.7,0,17.6,0.39,0.16
Clx,Bilibili Gaming,MID,4,4,3,1,13,4,42,13.8,75.3,17.8,1183,8.8,22.1,464.5,0,8.5,0.51,0.22
Doinb,Rogue Warriors,MID,3,5,1,4,13,13,11,1.8,61.5,33.3,1437,9.1,23.0,294.9,0,16.7,0.58,0.30
Fy,Huya BUG,JNG,4,4,1,3,13,17,22,2.1,79.5,29.5,841,6.4,20.5,324.8,0,21.5,0.64,0.44
Holder,Rogue Warriors,TOP,5,6,3,3,13,16,25,2.4,51.4,17.6,1237,6.8,19.5,316.1,0,22.9,0.40,0.20
KongMing,Rogue Warriors,MID,3,4,1,3,13,11,15,2.5,57.1,26.5,876,8.1,23.2,61.0,0,14.9,0.07,0.05
Maestro,Vici Gaming,SUP,6,14,8,6,13,43,97,2.6,54.2,6.4,445,1.0,13.1,113.8,1,23.5,1.52,0.23
Scout,Li-Ning Gaming,MID,1,4,1,3,13,9,14,3.0,75.0,36.1,1016,8.5,22.4,484.6,0,17.0,0.23,0.27
XinLiu,Invictus Gaming,SUP,8,13,9,4,13,39,135,3.8,66.7,5.9,456,1.1,11.8,118.0,0,22.3,1.64,0.37
YeG,LGD Gaming,MID,4,4,3,1,13,9,26,4.3,51.3,17.1,1024,7.1,19.8,521.0,0,18.8,0.40,0.20
Yuuki,LGD Gaming,MID,4,4,2,2,13,13,23,2.8,61.0,22.0,1137,8.2,21.1,313.2,1,25.0,0.25,0.32
Cold,OMG,SUP,12,15,8,7,12,43,160,4.0,72.9,5.1,478,1.1,13.9,172.3,1,24.0,1.49,0.29
Hang,Vici Gaming,SUP,7,14,8,6,12,49,155,3.4,66.5,4.8,613,1.3,13.2,162.8,1,24.5,1.68,0.41
Jinjiao,LGD Gaming,SUP,8,8,6,2,12,22,100,5.1,69.6,7.5,265,1.0,13.4,243.4,1,22.9,1.80,0.47
Meiko,Top Esports,SUP,3,7,4,3,12,14,88,7.1,67.1,8.1,525,2.2,15.0,248.1,1,12.5,1.36,0.35
Qingtian,Young Miracles,TOP,4,4,3,1,12,12,17,2.4,43.9,18.2,814,7.2,19.7,414.7,0,31.6,0.27,0.13
Rat,Qing Jiu E-sport Club,ADC,4,4,1,3,12,6,20,5.3,78.0,29.3,1240,10.2,25.8,630.8,1,9.7,0.45,0.51
Smlz,Rogue Warriors,ADC,3,5,1,4,12,16,19,1.9,79.5,30.8,1478,9.4,24.4,530.1,1,20.5,0.28,0.20
SwordArt,Suning,SUP,8,14,7,7,12,48,110,2.5,63.5,6.3,459,1.0,14.3,72.9,1,23.2,0.82,0.08
xiao7,FunPlus Phoenix,TOP,4,4,2,2,12,12,22,2.8,51.5,18.2,1095,7.5,21.8,544.5,0,15.6,0.37,0.14
Angel,Weibo Gaming,MID,4,4,2,2,11,6,20,5.2,59.6,21.2,987,7.0,20.8,589.3,0,11.8,0.44,0.26
Daylight,Rogue Warriors,JNG,3,7,3,4,11,26,71,3.2,61.7,8.3,962,4.5,17.3,17.3,0,21.8,0.05,0.02
Flandre,Li-Ning Gaming,TOP,4,4,2,2,11,9,8,2.1,43.2,25.0,1075,8.9,22.7,329.5,1,27.3,0.36,0.16
Letme,Royal Never Give Up,TOP,3,6,2,4,11,25,22,1.3,51.6,17.2,1443,7.0,19.4,126.1,1,25.5,0.12,0.05
Shanks,Anyone's Legend,MID,3,3,1,2,11,8,14,3.1,67.6,29.7,750,8.3,22.9,685.4,0,13.8,0.32,0.19
Smlz,OMG,ADC,4,4,2,2,11,5,10,4.2,56.8,29.7,1219,9.8,25.2,426.2,0,11.9,0.37,0.41
Snow,Invictus Gaming,ADC,2,2,2,0,11,3,19,10.0,58.8,21.6,448,8.3,22.7,684.4,0,12.5,0.37,0.15
Teacherma,LCC,MID,4,4,2,2,11,16,25,2.3,62.1,19.0,1066,8.6,21.0,543.4,1,24.2,0.27,0.21
Xiaocaobao,Huya BUG,MID,4,4,1,3,11,16,16,1.7,61.4,25.0,1158,8.8,23.1,464.5,0,20.3,0.30,0.33
Xinmo,Bilibili Gaming,SUP,8,11,6,5,11,36,89,2.8,66.7,7.3,323,0.9,10.1,78.3,2,27.7,1.25,0.21
Ziv,Rogue Warriors,TOP,4,4,3,1,11,10,19,3.0,40.0,14.7,803,7.0,19.1,461.1,0,23.8,0.41,0.10
Crisp,FunPlus Phoenix,SUP,5,7,3,4,10,20,68,3.9,69.0,8.8,249,1.3,13.5,194.2,1,16.7,1.62,0.29
Cryin,Invictus Gaming,MID,4,4,3,1,10,10,34,4.4,58.7,13.3,1027,8.2,20.4,691.6,0,15.6,0.28,0.33
frigid,TT,JNG,4,4,1,3,10,16,14,1.5,55.8,23.3,98,0.9,18.0,284.2,1,32.0,0.30,0.27
Hang,FunPlus Phoenix,SUP,3,12,8,4,10,45,123,3.0,65.5,4.9,468,1.2,10.6,131.0,0,23.2,1.31,0.23
Hope,Anyone's Legend,ADC,3,3,1,2,10,10,13,2.3,62.2,27.0,757,8.4,23.5,675.8,0,17.2,0.44,0.34
Icon,Bilibili Gaming,MID,1,2,2,0,10,2,12,11.0,59.5,27.0,357,7.9,19.7,534.8,0,25.0,0.53,0.11
Leyan,Rare Atom,JNG,1,3,2,1,10,7,24,4.9,70.8,20.8,550,5.7,19.4,419.9,0,16.7,0.40,0.44
M1anhua,Bilibili Gaming,JNG,3,5,3,2,10,8,25,4.4,67.3,19.2,865,5.1,18.1,221.5,0,18.6,0.74,0.49
M1kuya,Shu Dai Xiong Gaming,TOP,4,4,1,3,10,21,23,1.6,64.7,19.6,858,6.9,20.6,464.2,0,27.3,0.42,0.15
Meteor,LGD Gaming,JNG,4,4,3,1,10,10,55,6.5,76.5,11.8,731,6.5,19.3,413.1,1,20.8,0.26,0.33
New,Qing Jiu E-sport Club,TOP,4,4,1,3,10,12,12,1.8,53.7,24.4,927,7.6,21.0,402.8,0,19.4,0.46,0.15
Shanji,Legend Esport Gaming,TOP,4,4,0,4,10,21,8,0.9,60.0,33.3,1000,7.7,22.2,546.7,0,22.3,0.35,0.08
SofM,Snake eSports,JNG,2,4,1,3,10,12,14,2.0,68.6,28.6,560,4.7,18.5,126.2,1,24.0,0.37,0.24
Stay,WE,ADC,2,2,2,0,10,2,8,9.0,52.9,29.4,499,7.9,21.4,503.8,1,13.3,0.35,0.43
Twila,SinoDragon Gaming,MID,2,4,1,3,10,11,18,2.5,62.2,22.2,972,7.9,20.5,0.0,0,17.7,0.00,0.00
Xiaohao,Weibo Gaming,JNG,1,5,2,3,10,15,35,3.0,76.3,16.9,869,5.9,18.5,316.0,1,25.9,0.37,0.35
Yuekai,Ultra Prime,MID,2,2,1,1,10,4,15,6.3,64.1,25.6,520,8.5,21.7,632.6,0,16.0,0.34,0.36
Zdz,Weibo Gaming,TOP,1,5,2,3,10,12,20,2.5,50.8,16.9,1176,8.0,20.7,538.0,0,20.7,0.47,0.15
369,JD Gaming,TOP,4,4,0,4,9,21,9,0.9,62.1,31.0,869,7.3,23.6,464.9,0,27.6,0.53,0.25
Angel,OMG,MID,4,4,2,2,9,5,33,8.4,56.8,12.2,1024,9.0,21.7,517.9,0,9.1,0.47,0.27
Changhong,SinoDragon Gaming,TOP,2,4,1,3,9,12,17,2.2,57.8,20.0,987,8.0,21.1,0.0,0,19.4,0.00,0.00
Crisp,Bilibili Gaming,SUP,5,6,4,2,9,10,69,7.8,77.2,8.9,128,0.8,14.8,178.1,1,19.6,1.74,0.29
Flandre,Snake eSports,TOP,2,4,1,3,9,12,12,1.8,60.0,25.7,1055,8.9,22.5,200.3,0,24.0,0.24,0.08
Flawless,JD Gaming,JNG,2,4,1,3,9,8,9,2.3,60.0,30.0,664,4.8,16.3,0.0,0,20.0,0.00,0.00
haichao,LYA,MID,4,4,0,4,9,8,9,2.3,64.3,32.1,1071,7.7,21.8,303.1,1,12.1,0.42,0.10
Helper,Anyone's Legend,MID,4,4,3,1,9,8,21,3.8,50.8,15.3,1052,8.3,20.8,375.6,0,21.1,0.32,0.26
Icon,OMG,MID,4,4,2,2,9,11,10,1.7,51.4,24.3,1040,8.4,21.3,379.5,1,26.2,0.44,0.18
Lies,Douyu DHM,TOP,5,5,3,2,9,10,34,4.3,61.4,12.9,1312,8.1,21.8,547.3,1,18.5,0.39,0.10
Maple,Li-Ning Gaming,MID,4,4,2,2,9,5,17,5.2,59.1,20.5,908,7.5,20.3,392.1,0,15.2,0.46,0.13
Prince,WE,ADC,3,3,2,1,9,8,12,2.6,48.8,20.9,927,9.3,22.6,785.8,1,18.2,0.64,0.37
Road,Bilibili Gaming,SUP,6,16,9,7,9,53,126,2.5,71.8,4.8,681,1.3,14.0,137.0,1,28.8,0.97,0.33
West,Invictus Gaming,ADC,1,2,1,1,9,9,8,1.9,60.7,32.1,457,8.4,24.3,0.0,0,25.7,0.00,0.00
Zorah,Rare Atom,SUP,9,13,8,5,9,39,125,3.4,75.3,5.1,448,1.2,13.3,162.1,0,28.9,1.87,0.43
Ale,Dominus Esports,TOP,4,4,2,2,8,13,15,1.8,53.5,18.6,1060,8.4,22.4,408.6,1,25.5,0.27,0.16
Ale,Dominus Esports,TOP,4,4,2,2,8,13,15,1.8,53.5,18.6,1060,8.4,22.4,408.6,1,25.5,0.27,0.16
Breathe,OMG,TOP,4,4,2,2,8,12,7,1.3,40.5,21.6,982,7.9,21.0,333.1,0,28.6,0.40,0.15
FishBall,ShadowCream,JNG,3,6,2,4,8,17,26,2.0,66.7,15.7,834,5.0,18.6,77.1,1,23.0,0.31,0.20
Gala,Dominus Esports,ADC,4,4,2,2,8,5,15,4.6,53.5,18.6,1216,9.6,23.5,405.6,0,9.8,0.34,0.47
Guoguo,Snake eSports,MID,2,4,1,3,8,7,16,3.4,68.6,22.9,917,7.8,20.6,149.7,0,14.0,0.26,0.03
H4cker,OMG,JNG,4,4,2,2,8,5,12,4.0,54.1,21.6,664,5.4,18.6,155.3,0,11.9,0.73,0.44
H4cker,eStar Gaming,JNG,4,4,2,2,8,9,32,4.4,85.1,17.0,754,6.3,20.2,262.6,0,18.4,0.41,0.31
irma,eStar Gaming,MID,3,3,1,2,8,10,12,2.0,69.0,27.6,684,7.9,22.1,374.7,1,27.0,0.52,0.29
JunJia,Rare Atom,JNG,4,4,2,2,8,7,21,4.1,72.5,20.0,86,0.7,18.1,226.1,1,14.3,0.59,0.25
Leyan,Invictus Gaming,JNG,4,4,2,2,8,16,37,2.8,68.2,12.1,924,6.4,19.4,390.1,0,29.1,1.01,0.58
Lpc,JD Gaming,ADC,4,4,0,4,8,12,10,1.5,62.1,27.6,1016,8.5,24.5,478.7,1,15.8,0.36,0.25
M1kuya,Li-Ning Gaming,TOP,4,4,2,2,8,14,28,2.6,55.4,12.3,940,7.2,19.1,388.6,0,21.9,0.35,0.18
mlxg,Royal Never Give Up,JNG,2,3,1,2,8,6,16,4.0,80.0,26.7,533,5.0,18.0,0.0,0,13.3,0.00,0.00
New,OMG,TOP,4,4,3,1,8,12,37,3.8,49.5,8.8,821,6.9,18.0,395.2,0,24.5,0.44,0.16
New,TT,TOP,4,4,1,3,8,7,12,2.9,46.5,18.6,854,7.5,21.3,424.7,0,14.0,0.42,0.19
Ping,EDward Gaming,JNG,5,6,3,3,8,21,48,2.7,68.3,9.8,880,4.6,17.0,157.9,0,26.6,0.96,0.50
QiuQiu,Rogue Warriors,SUP,4,4,3,1,8,11,37,4.1,60.0,10.7,143,1.2,13.7,173.8,1,26.2,1.65,0.37
ShiauC,Ultra Prime,SUP,5,7,4,3,8,19,60,3.6,62.4,7.3,235,1.1,13.0,108.5,1,23.8,1.89,0.36
SofM,Weibo Gaming,JNG,4,4,2,2,8,9,26,3.8,65.4,15.4,209,1.5,18.2,315.7,1,17.6,1.05,0.57
Xiaohu,EQX,TOP,3,3,1,2,8,6,15,3.8,60.5,21.1,891,8.2,23.8,336.3,0,12.5,0.32,0.17
Zdz,Vici Gaming,TOP,1,3,0,3,8,12,13,1.8,70.0,26.7,827,9.1,24.4,723.3,0,15.8,0.42,0.20
Zs,Invictus Gaming,TOP,4,4,2,2,8,17,29,2.2,56.1,12.1,954,6.6,19.2,369.2,0,30.9,0.31,0.13
Zs,eStar Gaming,TOP,4,4,2,2,8,5,22,6.0,63.8,17.0,882,7.3,19.9,340.8,0,10.2,0.41,0.12
Aliez,Victory Five,TOP,3,3,2,1,7,4,13,5.0,58.8,20.6,659,7.9,22.4,337.6,0,10.0,0.37,0.10
Bunny,Royal Never Give Up,SUP,3,9,3,6,7,39,84,2.3,83.5,6.4,284,1.0,11.6,131.5,0,25.5,1.56,0.35
Chance,LGD Gaming,SUP,4,4,2,2,7,16,34,2.6,69.5,11.9,144,1.0,13.0,131.7,0,30.8,1.57,0.33
Chelizi,TT,TOP,4,4,1,3,7,13,20,2.1,56.3,14.6,991,7.3,20.6,263.5,0,18.8,0.35,0.10
Clx,Victory Five,TOP,2,2,1,1,7,7,10,2.4,81.0,33.3,407,6.3,21.3,294.5,0,20.6,0.51,0.31
Croco,Anyone's Legend,JNG,3,3,1,2,7,17,17,1.4,64.9,18.9,505,5.6,19.3,590.9,1,29.3,0.38,0.30
Cube,Rare Atom,TOP,4,4,2,2,7,12,14,1.8,52.5,17.5,916,7.6,21.5,363.5,0,24.5,0.43,0.18
Hang,Li-Ning Gaming,SUP,2,4,1,3,7,10,24,3.1,67.4,15.2,98,0.7,13.9,318.1,1,18.5,1.47,0.47
Harder,Anyone's Legend,MID,2,6,2,4,7,14,25,2.3,69.6,15.2,1540,8.4,21.5,487.2,0,20.6,0.38,0.27
Icon,Li-Ning Gaming,MID,4,4,2,2,7,12,36,3.6,66.2,10.8,1033,7.9,20.3,575.3,0,18.8,0.39,0.12
LvMao,Li-Ning Gaming,SUP,2,8,4,4,7,39,67,1.9,54.8,5.2,271,1.1,11.2,124.5,0,29.1,1.40,0.29
mlxg,Huya LML,JNG,5,5,3,2,7,15,56,4.2,74.1,8.2,929,5.5,18.3,263.2,0,20.0,0.28,0.35
Peanut,LGD Gaming,JNG,4,4,2,2,7,5,32,7.8,66.1,11.9,729,5.3,17.9,277.0,0,9.6,1.01,0.41
Weiwei,Li-Ning Gaming,JNG,1,4,1,3,7,14,15,1.6,61.1,19.4,665,5.6,18.6,197.1,1,26.4,0.32,0.41
Xiaopeng,SinoDragon Gaming,JNG,2,4,1,3,7,15,25,2.1,71.1,15.6,642,5.2,18.1,0.0,0,24.2,0.00,0.00
Xx,Li-Ning Gaming,JNG,4,4,2,2,7,7,23,4.3,68.2,15.9,637,5.3,18.3,256.7,1,21.2,1.03,0.53
YeG,Qing Jiu E-sport Club,SUP,4,4,1,3,7,15,20,1.8,65.9,17.1,719,5.9,19.4,446.0,1,24.2,0.97,0.24
Yimeng,WE,MID,3,3,2,1,7,5,17,4.8,61.5,17.9,695,7.4,20.0,440.8,0,13.9,0.49,0.21
Yuyanjia,Top Esports,SUP,5,9,5,4,7,31,70,2.5,60.2,5.5,288,1.1,12.8,142.9,0,27.7,1.56,0.28
Zhuo,Ninjas in Pyjamas,SUP,5,11,6,5,7,20,92,5.0,67.8,4.8,324,1.0,13.5,209.1,0,13.2,1.64,0.49
Zs,Ultra Prime,TOP,3,3,1,2,7,8,11,2.3,34.6,13.5,693,7.3,20.3,351.3,1,20.0,0.40,0.08
Chelly,Legend Esport Gaming,ADC,4,4,0,4,6,20,11,0.9,56.7,20.0,1124,8.7,23.1,371.5,0,21.3,0.28,0.22
jiang,GAMADREAM,ADC,2,2,0,2,6,5,3,1.8,64.3,42.9,639,10.1,25.9,449.4,0,13.2,0.27,0.51
Jiang,GAMADREAM,ADC,2,2,0,2,6,5,3,1.8,64.3,42.9,639,10.1,25.9,449.4,0,13.2,0.27,0.51
Ley,Rogue Warriors,SUP,5,7,3,4,6,20,44,2.5,61.0,7.3,246,1.1,13.8,127.8,0,22.2,1.47,0.35
Light,Snake eSports,ADC,2,4,1,3,6,7,19,3.6,71.4,17.1,1211,10.3,24.7,244.2,0,14.0,0.10,0.11
Mint,Huya RST,ADC,4,4,0,4,6,17,8,0.8,50.0,21.4,755,8.0,22.4,376.1,0,17.3,0.36,0.22
Mouse,Rogue Warriors,TOP,3,5,1,4,6,14,16,1.6,56.4,15.4,1197,7.6,20.9,286.7,0,17.9,0.30,0.06
Sora,DYU,SUP,5,7,5,2,6,14,90,6.9,75.6,4.7,188,0.8,13.4,217.7,0,16.1,1.76,0.37
Xiaohan,Victory Five,JNG,4,4,2,2,6,15,22,1.9,66.7,14.3,582,5.0,18.5,203.7,2,25.4,0.63,0.29
Xiaopeng,Dominus Esports,JNG,4,4,2,2,6,14,16,1.6,51.2,14.0,684,5.4,18.0,211.5,0,27.5,0.52,0.59
Xing,WE,ADC,2,2,1,1,6,7,6,1.7,75.0,37.5,435,8.3,21.4,444.0,0,25.0,0.46,0.19
Xingye,WHG,ADC,2,2,0,2,6,3,14,6.7,64.5,19.4,711,9.1,23.4,625.3,0,7.7,0.33,0.20
Athena,Bilibili Gaming,MID,3,5,3,2,5,6,32,6.2,71.2,9.6,1462,8.6,20.4,461.9,0,14.0,0.50,0.22
Breathe,Bilibili Gaming,TOP,4,4,2,2,5,9,29,3.8,53.1,7.8,850,6.9,19.0,387.0,0,20.9,0.41,0.23
Bvoy,JD Gaming,ADC,2,4,1,3,5,6,13,3.0,60.0,16.7,1139,8.3,22.9,0.0,0,15.0,0.00,0.00
Chieftain,Vici Gaming,JNG,1,3,0,3,5,13,13,1.4,60.0,16.7,431,4.7,17.1,180.9,1,17.1,0.78,0.29
Flawless,Rogue Warriors,JNG,3,5,1,4,5,19,20,1.3,64.1,12.8,706,4.5,17.6,197.2,0,24.4,0.52,0.32
Gala,Li-Ning Gaming,ADC,1,4,1,3,5,10,12,1.7,47.2,13.9,889,7.5,21.6,407.0,0,18.9,0.64,0.40
Jinjiao,Suning,ADC,1,3,0,3,5,12,12,1.4,68.0,20.0,835,8.4,22.9,497.8,0,16.4,0.37,0.26
Mark,SinoDragon Gaming,SUP,2,4,1,3,5,12,24,2.4,64.4,11.1,228,1.9,17.3,0.0,0,19.4,0.00,0.00
Max,Victory Five,SUP,4,4,2,2,5,17,22,1.6,64.3,11.9,160,1.4,14.1,129.2,0,28.8,1.41,0.41
Xingye,FunPlus Phoenix,ADC,1,2,0,2,5,3,4,3.0,60.0,33.3,508,9.6,24.6,430.9,1,8.3,0.41,0.21
Bin,Royal Never Give Up,TOP,1,3,0,3,4,6,13,2.8,58.6,13.8,810,8.5,15.8,242.0,0,9.1,0.31,0.18
Bright,Team Pinnacle,MID,4,4,1,3,4,9,32,4.0,90.0,10.0,839,6.8,20.0,345.6,0,17.0,0.31,0.18
Clearlove,EDward Gaming,JNG,1,1,0,1,4,3,6,3.3,90.9,36.4,170,4.5,18.4,0.0,0,17.6,0.00,0.00
Crazy,Rogue Warriors,TOP,1,1,0,1,4,5,4,1.6,100.0,50.0,272,8.2,25.8,443.0,0,25.0,0.42,0.39
Creme,OMG,MID,1,3,1,2,4,11,17,1.9,87.5,16.7,772,8.1,19.9,536.8,0,33.3,0.37,0.28
Jwei,Ultra Prime,SUP,2,2,1,1,4,5,28,6.4,82.1,10.3,89,1.5,14.3,204.0,1,20.0,1.68,0.59
Kael,Anyone's Legend,SUP,3,3,1,2,4,14,18,1.6,59.5,10.8,84,0.9,13.6,178.4,0,24.1,1.60,0.28
Kui,LGD Gaming,JNG,1,1,0,1,4,4,3,1.8,77.8,44.4,187,6.0,22.6,393.7,0,19.0,0.26,0.55
QiuQiu,Anyone's Legend,SUP,4,4,3,1,4,6,46,8.3,84.7,6.8,71,0.6,13.5,203.3,0,15.8,1.58,0.30
ShiauC,eStar Gaming,SUP,4,4,2,2,4,13,27,2.4,66.0,8.5,154,1.3,13.4,124.6,0,26.5,1.72,0.46
Southwind,Invictus Gaming,SUP,4,4,2,2,4,10,43,4.7,71.2,6.1,160,1.1,13.4,126.8,0,18.2,1.63,0.25
Southwind,TT,SUP,4,4,1,3,4,12,32,3.0,83.7,9.3,133,1.2,14.3,174.9,1,24.0,1.65,0.42
Wayward,Top Esports,TOP,1,2,2,0,4,2,10,7.0,34.1,9.8,464,7.4,20.2,215.8,0,15.4,0.45,0.21
Zz1tai,Huya RST,MID,1,1,0,1,4,6,2,1.0,50.0,33.3,185,7.5,23.6,628.2,0,17.1,0.28,0.16
ADD,Bilibili Gaming,TOP,1,1,0,1,3,5,3,1.2,60.0,30.0,197,7.3,22.7,396.5,0,20.8,0.52,0.26
AmazingJ,Huya RST,TOP,1,1,0,1,3,6,3,1.0,50.0,25.0,161,6.5,22.0,469.7,0,17.1,0.28,0.16
Bafang,Team Pinnacle,SUP,4,4,1,3,3,15,26,1.9,72.5,7.5,113,0.9,13.5,133.1,0,28.3,1.46,0.26
Crisp,Weibo Gaming,SUP,1,5,2,3,3,6,45,8.0,81.4,5.1,101,0.7,13.2,186.1,0,10.3,1.90,0.43
Duan,Li-Ning Gaming,SUP,4,4,2,2,3,6,25,4.7,63.6,6.8,134,1.1,13.6,124.1,1,18.2,1.48,0.46
Flora,LGD Gaming,JNG,1,2,0,2,3,5,5,1.6,61.5,23.1,358,6.3,19.7,232.7,0,12.8,0.26,0.41
Kedaya,WE,SUP,4,4,3,1,3,12,31,2.8,68.0,6.0,123,1.1,13.1,114.4,0,27.9,1.69,0.42
Kedaya,LYA,SUP,4,4,0,4,3,15,21,1.6,85.7,10.7,153,1.1,13.3,90.5,1,22.7,1.74,0.40
lwandy,WE,SUP,5,7,4,3,3,22,75,3.5,70.9,2.7,207,0.8,13.0,213.6,1,21.8,2.29,0.41
QiuQiu,TT,SUP,3,3,2,1,3,8,37,5.0,64.5,4.8,120,1.3,13.5,172.4,0,19.0,1.79,0.37
Ke,Young Miracles,SUP,4,4,3,1,2,10,43,4.5,68.2,3.0,125,1.1,12.9,125.7,1,26.3,1.44,0.32
Lele,FunPlus Phoenix,SUP,1,2,0,2,2,8,9,1.4,73.3,13.3,42,0.8,13.1,105.9,0,22.2,1.05,0.30
Life,FunPlus Phoenix,SUP,4,4,2,2,2,15,50,3.5,73.2,2.8,132,1.0,13.7,352.4,0,19.2,2.33,0.48
lwandy,Li-Ning Gaming,SUP,4,4,2,2,2,19,46,2.5,73.8,3.1,151,1.2,12.5,145.3,1,29.7,1.68,0.42
Maestro,Snake eSports,SUP,2,4,1,3,2,12,19,1.8,60.0,5.7,148,1.3,13.6,58.8,0,24.0,0.64,0.06
Mark,Dominus Esports,SUP,4,4,2,2,2,11,16,1.6,41.9,4.7,148,1.2,12.8,88.2,0,21.6,1.69,0.40
Missing,JD Gaming,SUP,7,15,6,9,2,50,124,2.5,68.5,1.1,421,0.9,12.8,189.2,0,21.1,1.85,0.34
ON,Weibo Gaming,SUP,2,2,1,1,2,11,23,2.3,73.5,5.9,87,1.3,13.5,162.8,1,29.7,2.20,0.42
pyl,LCC,SUP,4,4,2,2,2,15,28,2.0,51.7,3.4,71,0.6,12.9,246.1,0,22.7,1.07,0.21
Teeen,TT,SUP,3,3,1,2,2,9,20,2.4,61.1,5.6,135,1.3,13.3,107.9,1,17.6,1.17,0.28
Unravel,JD Gaming,TOP,1,3,0,3,2,16,4,0.4,40.0,13.3,614,7.7,20.3,383.4,0,31.4,0.24,0.12
WeiYan,Rogue Warriors,JNG,2,2,1,1,2,4,11,3.3,61.9,9.5,429,6.1,18.9,327.5,0,14.8,0.81,0.34
Wings,Bilibili Gaming,ADC,1,1,0,1,2,3,5,2.3,70.0,20.0,277,10.2,24.6,586.5,0,12.5,0.52,0.44
Yuyanjia,Rare Atom,SUP,1,1,1,0,2,4,16,4.5,72.0,8.0,54,1.7,14.9,177.0,0,23.5,2.27,0.84
Zhuo,Victory Five,SUP,1,3,1,2,2,9,27,3.2,70.7,4.9,64,0.7,13.1,241.8,0,17.6,1.47,0.33
haoye,FunPlus Phoenix,JNG,1,2,0,2,1,8,6,0.9,46.7,6.7,316,5.9,19.8,219.1,0,22.2,0.32,0.41
Insulator,eStar Gaming,MID,1,1,1,0,1,4,9,2.5,55.6,5.6,230,6.8,18.7,451.0,0,33.3,0.56,0.15
Moyu,Topsports Gaming,TOP,1,1,1,0,1,2,7,4.0,57.1,7.1,287,7.4,18.7,0.0,0,40.0,0.00,0.00
ON,Suning,SUP,1,3,0,3,1,17,9,0.6,40.0,4.0,120,1.2,12.7,140.1,0,23.3,1.64,0.53
Peace,LGD Gaming,SUP,1,3,0,3,1,13,16,1.3,77.3,4.5,109,1.2,13.0,117.4,0,21.7,1.78,0.46
ppgod,OMG,SUP,4,4,2,2,1,10,47,4.8,64.9,1.4,120,1.0,12.9,184.7,0,18.2,2.17,0.45
ppgod,FunPlus Phoenix,SUP,4,4,2,2,1,20,39,2.0,60.6,1.5,160,1.1,12.6,159.3,0,26.0,1.46,0.46
Qingtian,Top Esports,TOP,2,2,1,1,1,5,15,3.2,53.3,3.3,436,7.8,20.2,328.4,0,22.7,0.29,0.12
ShiauC,Rare Atom,SUP,2,2,0,2,1,8,21,2.8,73.3,3.3,83,1.2,13.2,176.0,0,22.2,1.97,0.55
SwordArt,Anyone's Legend,SUP,2,6,2,4,1,16,36,2.3,80.4,2.2,112,0.6,12.5,162.0,0,23.5,1.74,0.23
Yuekai,Li-Ning Gaming,MID,1,2,0,2,1,6,8,1.5,56.3,6.3,728,8.9,21.3,555.8,0,17.6,0.54,0.33
Yui,Bilibili Gaming,SUP,1,1,0,1,1,6,5,1.0,60.0,10.0,29,1.1,13.2,202.1,0,25.0,1.29,0.30
fenfen,TT,SUP,1,1,0,1,0,7,7,1.0,58.3,0.0,37,1.1,12.2,142.8,0,38.9,1.58,0.36
Jwei,Bilibili Gaming,SUP,1,3,1,2,0,9,27,3.0,75.0,0.0,25,0.3,12.4,203.4,0,20.5,1.14,0.17
Mark,Li-Ning Gaming,SUP,1,2,0,2,0,6,5,0.8,83.3,0.0,243,3.8,17.3,187.3,0,18.2,1.11,0.38
Southwind,Rare Atom,SUP,1,2,1,1,0,5,12,2.4,52.2,0.0,63,1.0,13.4,322.4,0,20.0,1.65,0.34
SwordArt,Weibo Gaming,SUP,2,2,1,1,0,5,11,2.2,61.1,0.0,82,1.1,12.6,119.0,0,35.7,1.98,0.26
