,,,,,,,,,,,,,,,,,,,,
Player,Team,POS,M,G,W,L,K,D,A,KDA,KP%,KS%,CS,CSM,GLD%,DPM,FB,DTH%,WPM,WCPM
Rookie,Invictus Gaming,MID,8,19,11,8,54,50,111,3.3,66.0,21.6,5051,8.7,21.4,0.0,0,18.7,0.00,0.00
Jiejie,EDward Gaming,JNG,6,15,9,6,53,45,132,4.1,74.0,21.2,2508,5.2,18.8,317.6,1,23.0,0.74,0.48
YaGao,Bilibili Gaming,MID,4,14,10,4,53,29,140,6.7,74.8,20.5,3450,7.8,20.5,547.8,0,16.4,0.43,0.30
Breathe,WE,TOP,7,15,9,6,52,35,92,4.1,52.7,19.0,3940,8.3,21.6,423.3,2,16.9,0.43,0.22
Xiaoxu,Rare Atom,TOP,6,11,6,5,52,20,49,5.1,60.1,31.0,2796,8.3,22.0,489.0,2,16.4,0.36,0.13
Assum,Rare Atom,ADC,7,13,7,6,51,29,74,4.3,65.4,26.7,3652,9.1,24.2,553.1,2,19.7,0.34,0.30
FoFo,Vici Gaming,MID,6,11,8,3,51,13,101,11.7,68.8,23.1,3088,8.2,21.6,706.3,1,10.5,0.43,0.19
Yuekai,Invictus Gaming,MID,6,11,7,4,51,30,56,3.6,62.6,29.8,2789,7.9,20.6,512.4,0,19.9,0.29,0.32
AKi,OMG,JNG,10,15,8,7,49,30,121,5.7,70.2,20.2,1466,3.4,19.9,321.7,3,16.9,0.27,0.36
Breathe,Royal Never Give Up,TOP,7,14,8,6,49,44,48,2.2,50.8,25.7,3352,8.1,22.3,551.9,1,23.5,0.38,0.20
Wuming,OMG,MID,9,12,7,5,49,22,81,5.9,59.6,22.5,2469,7.5,20.8,386.8,1,15.2,0.33,0.19
Duke,Invictus Gaming,TOP,8,19,11,8,48,56,82,2.3,52.0,19.2,4563,7.8,21.0,0.0,0,21.0,0.00,0.00
Tarzan,Li-Ning Gaming,JNG,6,12,6,6,48,35,90,3.9,69.0,24.0,1327,3.6,18.2,313.9,2,17.7,0.37,0.33
Y4,Victory Five,ADC,9,12,7,5,48,18,55,5.7,68.7,32.0,3424,9.1,24.8,429.5,0,12.4,0.37,0.27
Ruler,JD Gaming,ADC,3,11,6,5,47,29,54,3.5,65.2,30.3,3501,9.9,24.8,737.2,2,18.0,0.61,0.49
