,fpr,tpr
0,0.0,0.0
1,0.0,0.00016932889315346842
2,0.0,0.00019755037534571315
3,3.0207829869502175e-05,0.00019755037534571315
4,3.0207829869502175e-05,0.0002539933397302026
5,6.041565973900435e-05,0.0002539933397302026
6,6.041565973900435e-05,0.0003951007506914263
7,9.062348960850652e-05,0.0003951007506914263
8,9.062348960850652e-05,0.0004797651972681605
9,0.0001208313194780087,0.0004797651972681605
10,0.0001208313194780087,0.0005079866794604052
11,0.00015103914934751087,0.0005079866794604052
12,0.00015103914934751087,0.0007055370548061184
13,0.00018124697921701304,0.0007055370548061184
14,0.00018124697921701304,0.0008184229835750974
15,0.00021145480908651523,0.0008184229835750974
16,0.00021145480908651523,0.0008466444657673421
17,0.0002416626389560174,0.0008466444657673421
18,0.0002416626389560174,0.0008748659479595869
19,0.0002718704688255196,0.0008748659479595869
20,0.0002718704688255196,0.0009313089123440763
21,0.00033228612856452393,0.0009313089123440763
22,0.00033228612856452393,0.0012417452164587685
23,0.0003624939584340261,0.0012417452164587685
24,0.0003624939584340261,0.0015239600383812157
25,0.0004531174480425326,0.0015239600383812157
26,0.0004531174480425326,0.001919060789072642
27,0.0004833252779120348,0.001919060789072642
28,0.0004833252779120348,0.0021166111644183552
29,0.000513533107781537,0.0021166111644183552
30,0.000513533107781537,0.002342383021956313
31,0.0005739487675205413,0.002342383021956313
32,0.0005739487675205413,0.002370604504148558
33,0.0006041565973900435,0.002370604504148558
34,0.0006041565973900435,0.0023988259863408027
35,0.0006041565973900435,0.002455268950725292
36,0.0006041565973900435,0.0025117119151097816
37,0.0006343644272595457,0.0025117119151097816
38,0.0006343644272595457,0.00268104080826325
39,0.0006645722571290479,0.00268104080826325
40,0.0006645722571290479,0.002906812665801208
41,0.0006947800869985501,0.002906812665801208
42,0.0006947800869985501,0.0030479200767624315
43,0.0007249879168680521,0.0030479200767624315
44,0.0007249879168680521,0.0031608060055314103
45,0.0007854035766070565,0.0031608060055314103
46,0.0007854035766070565,0.0032172489699159
47,0.0008156114064765587,0.0032172489699159
48,0.0008156114064765587,0.0033865778630693686
